node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_1105,15,0.0113,0.0037,0.0792,0.0006
G_1106,15,0.0127,0.0187,0.0921,0.0007
G_1107,2,0.012,0.0025,0.0974,0.0007
G_1108,12,0.0127,0.0011,0.1011,0.0007
G_1109,10,0.012,0.0022,0.104,0.0007
G_111,1,0.01,0.0011,0.1197,0.0006
G_1110,7,0.0113,0.0028,0.108,0.0007
G_1111,6,0.01,0.1192,0.1122,0.0006
G_1112,12,0.014,0.0016,0.0944,0.0007
G_1113,9,0.0107,0.0,0.0729,0.0006
G_1114,13,0.01,0.0016,0.1029,0.0006
G_1115,12,0.012,0.0018,0.0956,0.0007
G_1116,12,0.0107,0.0025,0.1072,0.0006
G_1117,10,0.012,0.0059,0.1065,0.0007
G_1118,8,0.012,0.001,0.1052,0.0007
G_1119,15,0.0107,0.0002,0.0772,0.0006
G_112,14,0.0133,0.0028,0.0869,0.0007
G_1120,9,0.0107,0.0,0.0729,0.0006
G_1121,6,0.0113,0.0017,0.1052,0.0007
G_1122,2,0.012,0.0095,0.1027,0.0007
G_1123,6,0.0133,0.0013,0.1116,0.0007
G_1124,5,0.0113,0.0125,0.1068,0.0006
G_1125,3,0.012,0.0026,0.1004,0.0007
G_1126,9,0.01,0.0009,0.085,0.0005
G_1127,13,0.012,0.0012,0.1054,0.0007
G_1128,12,0.0107,0.0089,0.0978,0.0006
G_1129,15,0.0113,0.0016,0.0885,0.0006
G_113,8,0.01,0.011,0.1108,0.0006
G_1130,8,0.0113,0.0005,0.101,0.0006
G_1131,6,0.0113,0.0009,0.1162,0.0006
G_1132,6,0.0113,0.0017,0.108,0.0007
G_1133,2,0.01,0.035,0.0842,0.0006
G_1134,2,0.012,0.0056,0.0901,0.0007
G_1135,15,0.0107,0.0282,0.0995,0.0006
G_1136,2,0.01,0.0004,0.0988,0.0006
G_1137,11,0.012,0.0018,0.1105,0.0007
G_1138,3,0.0113,0.0091,0.086,0.0006
G_1139,4,0.0113,0.001,0.0766,0.0006
G_114,16,0.012,0.0073,0.105,0.0007
G_1140,3,0.012,0.0029,0.0948,0.0007
G_1141,15,0.01,0.0005,0.0865,0.0006
G_1142,15,0.0113,0.0009,0.0839,0.0006
G_1143,15,0.012,0.0008,0.0814,0.0007
G_1144,3,0.012,0.0065,0.102,0.0007
G_1145,11,0.0113,0.002,0.1059,0.0007
G_1146,7,0.01,0.0011,0.1105,0.0006
G_1147,6,0.012,0.0072,0.1191,0.0007
G_1148,2,0.0127,0.0034,0.0934,0.0007
G_1149,2,0.0107,0.0014,0.0945,0.0006
G_115,1,0.0133,0.0052,0.1105,0.0007
G_1150,8,0.0133,0.0011,0.1023,0.0007
G_1151,2,0.012,0.0008,0.0793,0.0006
G_1152,10,0.012,0.0008,0.1043,0.0007
G_1153,8,0.0127,0.0044,0.1099,0.0007
G_1154,15,0.0127,0.001,0.0852,0.0007
G_1155,12,0.012,0.0019,0.1042,0.0007
G_1156,15,0.01,0.0002,0.0935,0.0006
G_1157,5,0.012,0.0506,0.1069,0.0007
G_1158,6,0.0113,0.0018,0.107,0.0007
G_1159,6,0.0113,0.0021,0.1067,0.0007
G_116,1,0.0127,0.0009,0.1219,0.0007
G_1160,15,0.0113,0.0003,0.0773,0.0006
G_1161,7,0.0133,0.0033,0.1182,0.0007
G_1162,5,0.012,0.0038,0.0994,0.0007
G_1163,13,0.0113,0.0037,0.105,0.0007
G_1164,11,0.0107,0.0004,0.1099,0.0006
G_1165,11,0.012,0.0009,0.1102,0.0007
G_1166,5,0.012,0.031,0.1018,0.0007
G_1167,5,0.0133,0.0014,0.0985,0.0008
G_1168,11,0.01,0.0039,0.1021,0.0006
G_1169,7,0.0113,0.0038,0.1146,0.0006
G_117,0,0.0127,0.0132,0.1205,0.0007
G_1170,9,0.0107,0.0,0.0729,0.0006
G_1171,6,0.012,0.0015,0.1071,0.0007
G_1172,7,0.01,0.0017,0.1047,0.0006
G_1173,8,0.0153,0.0086,0.1059,0.0008
G_1174,5,0.0127,0.0027,0.102,0.0007
G_1175,6,0.0113,0.0092,0.1127,0.0006
G_1176,6,0.0113,0.0028,0.1165,0.0007
G_1177,11,0.012,0.0167,0.1178,0.0007
G_1178,12,0.0107,0.0013,0.0955,0.0006
G_1179,10,0.0133,0.0024,0.1076,0.0007
G_118,0,0.0127,0.0027,0.1152,0.0007
G_1180,15,0.0113,0.0025,0.0857,0.0006
G_1181,15,0.0127,0.0035,0.0851,0.0007
G_1182,8,0.01,0.0155,0.111,0.0006
G_1183,3,0.0113,0.0013,0.0923,0.0007
G_1184,15,0.0113,0.0012,0.0844,0.0006
G_1185,8,0.014,0.007,0.1068,0.0008
G_1186,8,0.0107,0.0065,0.1087,0.0006
G_1187,7,0.0113,0.003,0.1144,0.0006
G_1188,8,0.0133,0.0017,0.1057,0.0007
G_1189,3,0.012,0.0029,0.1011,0.0007
G_119,16,0.0127,0.0014,0.1,0.0007
G_1190,9,0.014,0.0015,0.0801,0.0007
G_1191,7,0.0113,0.0198,0.1215,0.0006
G_1192,8,0.01,0.0098,0.1165,0.0006
G_1193,3,0.0133,0.0049,0.1013,0.0007
G_1194,5,0.0113,0.0005,0.1028,0.0006
G_1195,3,0.0133,0.0091,0.0912,0.0007
G_1196,6,0.0113,0.0046,0.1091,0.0007
G_1197,2,0.0147,0.0019,0.0793,0.0008
G_1198,12,0.0153,0.0017,0.0947,0.0008
G_1199,15,0.012,0.0004,0.0811,0.0007
G_12,1,0.0133,0.0023,0.1228,0.0007
G_120,14,0.01,0.0131,0.0846,0.0006
G_1200,2,0.01,0.0582,0.09,0.0006
G_1201,6,0.01,0.0055,0.1057,0.0006
G_1202,8,0.0107,0.0018,0.0973,0.0006
G_1203,6,0.0113,0.0028,0.108,0.0007
G_1204,15,0.0107,0.0003,0.0773,0.0006
G_1205,3,0.0113,0.004,0.096,0.0006
G_1206,15,0.0127,0.0015,0.0861,0.0007
G_1207,11,0.012,0.0047,0.0977,0.0007
G_1208,3,0.016,0.0023,0.0879,0.0009
G_1209,6,0.0113,0.0015,0.1075,0.0007
G_121,16,0.0113,0.0028,0.1043,0.0006
G_1210,12,0.0133,0.0064,0.1054,0.0007
G_1211,15,0.0127,0.0042,0.0854,0.0007
G_1212,7,0.0127,0.0021,0.1064,0.0007
G_1213,11,0.012,0.0154,0.1165,0.0007
G_1214,2,0.0107,0.007,0.0977,0.0006
G_1215,11,0.0107,0.0016,0.1,0.0006
G_1216,5,0.012,0.0046,0.1033,0.0007
G_1217,6,0.01,0.0013,0.1051,0.0006
G_1218,9,0.014,0.0001,0.0737,0.0007
G_1219,6,0.0127,0.0027,0.106,0.0007
G_122,14,0.01,0.0011,0.0892,0.0006
G_1220,6,0.01,0.001,0.109,0.0006
G_1221,3,0.01,0.0026,0.0884,0.0006
G_1222,2,0.0107,0.0047,0.1007,0.0006
G_1223,5,0.014,0.0019,0.1034,0.0008
G_1224,15,0.0113,0.0002,0.0791,0.0006
G_1225,3,0.0133,0.0019,0.096,0.0007
G_1226,15,0.012,0.0008,0.0867,0.0006
G_1227,7,0.0133,0.0065,0.117,0.0007
G_1228,2,0.0113,0.003,0.0839,0.0006
G_1229,15,0.0133,0.0014,0.0815,0.0007
G_123,16,0.0113,0.0012,0.0917,0.0006
G_1230,6,0.0107,0.0041,0.1176,0.0006
G_1231,15,0.012,0.0044,0.0879,0.0007
G_1232,11,0.0107,0.003,0.0998,0.0006
G_1233,2,0.012,0.0033,0.0991,0.0007
G_1234,6,0.0107,0.0017,0.1056,0.0006
G_1235,15,0.0133,0.0009,0.0816,0.0007
G_1236,11,0.0127,0.0039,0.1006,0.0007
G_1237,5,0.012,0.0029,0.1015,0.0007
G_1238,15,0.0127,0.0007,0.0858,0.0007
G_1239,15,0.0113,0.0015,0.0813,0.0006
G_124,14,0.012,0.0057,0.0904,0.0007
G_1240,5,0.0133,0.0084,0.1003,0.0007
G_1241,3,0.0107,0.0008,0.0902,0.0006
G_1242,6,0.012,0.0021,0.1167,0.0007
G_1243,5,0.012,0.0033,0.0998,0.0007
G_1244,6,0.0113,0.0009,0.1088,0.0007
G_1245,9,0.016,0.0058,0.0849,0.0008
G_1246,2,0.014,0.0025,0.0905,0.0008
G_1247,12,0.0127,0.0021,0.1073,0.0007
G_1248,15,0.0113,0.0003,0.0843,0.0006
G_1249,15,0.0133,0.002,0.0923,0.0007
G_125,1,0.012,0.0074,0.1191,0.0007
G_1250,3,0.0113,0.0022,0.0906,0.0006
G_1251,10,0.012,0.0017,0.1043,0.0007
G_1252,8,0.0107,0.0006,0.1011,0.0006
G_1253,13,0.0113,0.0088,0.1066,0.0006
G_1254,2,0.012,0.002,0.0901,0.0007
G_1255,7,0.0113,0.007,0.114,0.0007
G_1256,7,0.01,0.0882,0.1287,0.0006
G_1257,11,0.01,0.0034,0.1026,0.0006
G_1258,7,0.0127,0.0104,0.123,0.0007
G_1259,12,0.0133,0.004,0.1011,0.0007
G_126,1,0.0107,0.0232,0.12,0.0006
G_1260,7,0.012,0.0135,0.1218,0.0007
G_1261,12,0.0147,0.0012,0.0943,0.0008
G_1262,6,0.012,0.0016,0.1067,0.0007
G_1263,6,0.0107,0.0028,0.1077,0.0006
G_1264,2,0.0173,0.0029,0.082,0.0009
G_1265,10,0.01,0.0048,0.1085,0.0006
G_1266,13,0.0107,0.001,0.1031,0.0006
G_1267,2,0.012,0.0145,0.0903,0.0007
G_1268,15,0.0133,0.0024,0.0922,0.0007
G_1269,4,0.0113,0.0024,0.0766,0.0006
G_127,1,0.012,0.0017,0.1207,0.0007
G_1270,6,0.0133,0.0052,0.1169,0.0007
G_1271,9,0.0107,0.0,0.0734,0.0006
G_1272,3,0.01,0.0022,0.094,0.0006
G_1273,13,0.012,0.0036,0.106,0.0007
G_1274,12,0.01,0.001,0.096,0.0006
G_1275,13,0.0153,0.0023,0.1049,0.0008
G_1276,6,0.0127,0.0131,0.1187,0.0007
G_1277,15,0.01,0.0003,0.0783,0.0006
G_1278,6,0.012,0.0044,0.108,0.0007
G_1279,8,0.0113,0.0009,0.1088,0.0006
G_128,1,0.012,0.0022,0.1137,0.0007
G_1280,13,0.0147,0.0029,0.1048,0.0008
G_1281,13,0.012,0.0038,0.1057,0.0007
G_1282,9,0.0113,0.0001,0.0756,0.0006
G_1283,12,0.0107,0.0032,0.1073,0.0006
G_1284,3,0.0107,0.0019,0.0911,0.0006
G_1285,15,0.016,0.0015,0.086,0.0008
G_1286,5,0.0133,0.0031,0.1,0.0007
G_1287,6,0.0113,0.0052,0.1066,0.0007
G_1288,7,0.0107,0.0008,0.1129,0.0006
G_1289,5,0.014,0.0054,0.1032,0.0008
G_129,4,0.0127,0.0007,0.0704,0.0007
G_1290,13,0.01,0.0046,0.1017,0.0006
G_1291,2,0.0133,0.0034,0.078,0.0007
G_1292,3,0.012,0.0005,0.0877,0.0007
G_1293,13,0.01,0.0637,0.1083,0.0006
G_1294,2,0.014,0.022,0.1033,0.0008
G_1295,6,0.0133,0.001,0.1113,0.0007
G_1296,3,0.01,0.0006,0.0884,0.0006
G_1297,3,0.0113,0.0024,0.0915,0.0006
G_1298,3,0.0113,0.001,0.0863,0.0007
G_1299,8,0.01,0.0039,0.0982,0.0006
G_13,16,0.0113,0.0305,0.1018,0.0007
G_130,14,0.0107,0.0008,0.081,0.0006
G_1300,5,0.014,0.0031,0.1025,0.0008
G_1301,5,0.0113,0.0014,0.098,0.0007
G_1302,11,0.0113,0.0084,0.111,0.0006
G_1303,2,0.0127,0.0011,0.0872,0.0007
