community,degree_rep,betweenness_rep,pagerank_rep
0,R_555,R_810,R_555
1,R_1176,R_1273,R_1176
2,R_894,R_1291,R_894
3,R_101,R_416,R_101
4,R_166,R_896,R_166
5,R_130,R_1116,R_921
6,R_1197,R_335,R_1197
7,R_1124,R_1443,R_1124
8,R_194,R_248,R_194
9,R_489,R_1109,R_489
10,R_1061,R_1223,R_1061
11,R_199,R_162,R_199
12,R_277,R_1230,R_49
