community,degree_rep,betweenness_rep,pagerank_rep
0,G_137,G_63,G_343
1,G_44,G_356,G_44
2,G_1107,G_785,G_1107
3,G_315,G_109,G_315
4,G_1229,G_1424,G_1229
5,G_1100,G_1027,G_243
6,G_1437,G_1111,G_884
7,G_1022,G_840,G_1022
8,G_752,G_1126,G_752
9,G_1321,G_573,G_768
10,G_213,G_382,G_213
11,G_165,G_1200,G_165
