community,degree_rep,betweenness_rep,pagerank_rep
0,1178,825,513
1,21,124,21
2,977,267,977
3,1032,109,1032
4,1224,822,1224
5,407,1209,407
6,1005,1066,758
7,484,586,484
8,1391,88,1391
9,1044,1416,1186
10,983,917,983
11,1403,849,1403
12,1290,839,1299
13,1353,1203,1353
14,671,1201,671
15,245,1325,245
