community,degree_rep,betweenness_rep,pagerank_rep
0,1178,1111,671
1,21,1201,21
2,977,267,977
3,1032,109,1032
4,1391,88,1391
5,694,586,694
6,407,1209,407
7,1353,1009,1353
8,1005,1066,758
9,1044,1416,1186
10,484,1192,484
11,1188,1325,656
12,983,917,983
13,1403,205,1403
14,1290,839,1299
