node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_0,0,0.0187,0.0106,0.1608,0.0006
G_1,0,0.02,0.0007,0.1438,0.0006
G_10,2,0.0233,0.0024,0.1631,0.0007
G_100,0,0.0187,0.0035,0.1465,0.0006
G_1000,11,0.022,0.0007,0.1211,0.0007
G_1001,8,0.0193,0.0109,0.1178,0.0006
G_1002,9,0.0207,0.0015,0.1202,0.0006
G_1003,7,0.0193,0.001,0.1309,0.0006
G_1004,7,0.022,0.001,0.1317,0.0007
G_1005,6,0.0207,0.0044,0.1556,0.0007
G_1006,5,0.02,0.002,0.1554,0.0006
G_1007,3,0.0193,0.0039,0.1302,0.0006
G_1008,10,0.022,0.0007,0.1062,0.0006
G_1009,8,0.0207,0.0035,0.1347,0.0006
G_101,2,0.02,0.0068,0.1578,0.0006
G_1010,7,0.02,0.0018,0.1323,0.0006
G_1011,3,0.0213,0.0053,0.1397,0.0007
G_1012,5,0.0187,0.0036,0.1439,0.0006
G_1013,11,0.0187,0.0103,0.117,0.0006
G_1014,7,0.0213,0.004,0.1463,0.0007
G_1015,6,0.0207,0.0023,0.1436,0.0007
G_1016,11,0.0254,0.0024,0.1124,0.0008
G_1017,8,0.0213,0.0004,0.1252,0.0006
G_1018,11,0.0233,0.0021,0.1137,0.0007
G_1019,6,0.0233,0.0022,0.1398,0.0007
G_102,0,0.018,0.0088,0.1274,0.0006
G_1020,5,0.0207,0.0018,0.1327,0.0007
G_1021,8,0.0213,0.0028,0.1408,0.0007
G_1022,6,0.026,0.0011,0.1377,0.0008
G_1023,9,0.0227,0.0015,0.1186,0.0007
G_1024,3,0.018,0.0795,0.1414,0.0006
G_1025,3,0.024,0.0032,0.1406,0.0007
G_1026,3,0.0227,0.001,0.135,0.0007
G_1027,5,0.0207,0.0176,0.1629,0.0007
G_1028,6,0.022,0.0032,0.1446,0.0007
G_1029,8,0.0247,0.001,0.1292,0.0007
G_103,2,0.0213,0.0132,0.1589,0.0007
G_1030,9,0.0233,0.0013,0.1108,0.0007
G_1031,9,0.022,0.0004,0.1238,0.0007
G_1032,6,0.0213,0.001,0.1359,0.0007
G_1033,9,0.02,0.0004,0.1096,0.0006
G_1034,11,0.0213,0.003,0.1123,0.0007
G_1035,10,0.018,0.0,0.0976,0.0006
G_1036,8,0.02,0.0009,0.1255,0.0006
G_1037,5,0.0227,0.0015,0.1378,0.0007
G_1038,8,0.0254,0.0143,0.1468,0.0008
G_1039,5,0.02,0.002,0.1477,0.0006
G_104,2,0.0193,0.0009,0.1565,0.0006
G_1040,10,0.02,0.0,0.0976,0.0006
G_1041,9,0.022,0.0012,0.123,0.0007
G_1042,8,0.022,0.0011,0.1299,0.0007
G_1043,6,0.018,0.0014,0.1372,0.0006
G_1044,5,0.024,0.0007,0.1351,0.0007
G_1045,3,0.022,0.0026,0.1321,0.0007
G_1046,11,0.0247,0.0013,0.1072,0.0007
G_1047,3,0.0207,0.0017,0.1358,0.0006
G_1048,3,0.0227,0.0005,0.1331,0.0007
G_1049,8,0.0193,0.0033,0.1291,0.0006
G_105,0,0.02,0.003,0.1319,0.0006
G_1050,11,0.0233,0.0001,0.1077,0.0007
G_1051,9,0.0207,0.0038,0.1301,0.0006
G_1052,6,0.02,0.0021,0.1418,0.0007
G_1053,9,0.024,0.0048,0.1335,0.0007
G_1054,8,0.02,0.0127,0.1238,0.0006
G_1055,7,0.0233,0.0012,0.1428,0.0007
G_1056,3,0.022,0.0009,0.1352,0.0007
G_1057,3,0.022,0.0124,0.148,0.0007
G_1058,6,0.022,0.0026,0.1407,0.0007
G_1059,5,0.022,0.0044,0.154,0.0007
G_106,0,0.022,0.0012,0.1272,0.0007
G_1060,3,0.022,0.001,0.1376,0.0007
G_1061,5,0.0207,0.0009,0.1363,0.0007
G_1062,3,0.0193,0.002,0.123,0.0006
G_1063,9,0.0233,0.0021,0.1197,0.0007
G_1064,3,0.02,0.0076,0.1561,0.0007
G_1065,3,0.0193,0.0005,0.1359,0.0006
G_1066,11,0.0193,0.0034,0.1066,0.0006
G_1067,8,0.02,0.0013,0.1343,0.0006
G_1068,8,0.0227,0.0084,0.1459,0.0007
G_1069,3,0.0233,0.0013,0.1386,0.0007
G_107,2,0.0233,0.0005,0.1585,0.0007
G_1070,11,0.0193,0.0112,0.1168,0.0006
G_1071,10,0.0254,0.0016,0.1062,0.0007
G_1072,3,0.022,0.0005,0.1342,0.0007
G_1073,5,0.0207,0.0009,0.1378,0.0007
G_1074,9,0.02,0.0004,0.1096,0.0006
G_1075,9,0.022,0.0017,0.1138,0.0007
G_1076,11,0.0193,0.0008,0.103,0.0006
G_1077,9,0.0233,0.0039,0.1326,0.0007
G_1078,6,0.0193,0.0006,0.1453,0.0006
G_1079,9,0.0207,0.0225,0.1294,0.0006
G_108,2,0.0233,0.0016,0.1607,0.0007
G_1080,5,0.022,0.0058,0.1575,0.0007
G_1081,6,0.0227,0.0035,0.1475,0.0007
G_1082,0,0.0193,0.0134,0.1572,0.0007
G_1083,4,0.0207,0.0016,0.1052,0.0006
G_1084,3,0.0187,0.0024,0.1504,0.0006
G_1085,9,0.0193,0.0011,0.1143,0.0006
G_1086,4,0.0193,0.0079,0.0997,0.0006
G_1087,8,0.022,0.0014,0.1277,0.0007
G_1088,5,0.018,0.0014,0.1369,0.0006
G_1089,5,0.0207,0.0155,0.1629,0.0007
G_109,9,0.0187,0.0524,0.1446,0.0006
G_1090,3,0.0213,0.0002,0.1287,0.0007
G_1091,5,0.018,0.0057,0.1389,0.0006
G_1092,6,0.0193,0.0007,0.1382,0.0006
G_1093,9,0.024,0.0015,0.1254,0.0007
G_1094,9,0.0213,0.0005,0.1142,0.0007
G_1095,5,0.0193,0.0016,0.1395,0.0006
G_1096,2,0.02,0.03,0.1691,0.0006
G_1097,3,0.0254,0.0025,0.1339,0.0008
G_1098,5,0.0213,0.0033,0.1346,0.0007
G_1099,6,0.02,0.0087,0.1571,0.0007
G_11,4,0.022,0.0002,0.0976,0.0007
G_110,0,0.02,0.0016,0.1508,0.0006
G_1100,5,0.024,0.0039,0.1489,0.0007
G_1101,11,0.0187,0.0131,0.106,0.0006
G_1102,6,0.022,0.0019,0.1481,0.0007
G_1103,5,0.02,0.0045,0.1595,0.0006
G_1104,5,0.022,0.0014,0.1391,0.0007
G_1105,10,0.0193,0.0007,0.1104,0.0006
G_1106,9,0.0213,0.0019,0.1178,0.0006
G_1107,3,0.0247,0.0013,0.1277,0.0007
G_1108,8,0.022,0.0018,0.1385,0.0007
G_1109,5,0.0213,0.0017,0.138,0.0007
G_111,2,0.0233,0.0036,0.1642,0.0007
G_1110,5,0.0207,0.0014,0.1436,0.0007
G_1111,6,0.018,0.0842,0.1478,0.0006
G_1112,8,0.022,0.0003,0.1228,0.0007
G_1113,10,0.018,0.0,0.0976,0.0006
G_1114,3,0.0233,0.0019,0.1371,0.0007
G_1115,8,0.0254,0.0011,0.1286,0.0007
G_1116,8,0.024,0.0086,0.1509,0.0007
G_1117,5,0.022,0.0011,0.1365,0.0007
G_1118,3,0.024,0.0042,0.1425,0.0007
G_1119,10,0.0187,0.0008,0.1035,0.0006
G_112,1,0.028,0.0068,0.1218,0.0008
G_1120,10,0.018,0.0,0.0976,0.0006
G_1121,6,0.0193,0.0019,0.1455,0.0006
G_1122,3,0.022,0.0009,0.1292,0.0007
