community,degree_rep,betweenness_rep,pagerank_rep
0,G_12,G_63,G_86
1,G_213,G_382,G_213
2,G_221,G_980,G_997
3,G_315,G_415,G_315
4,G_1321,G_37,G_1321
5,G_1290,G_1024,G_1290
6,G_574,G_1256,G_574
7,G_640,G_1135,G_640
8,G_1158,G_1111,G_1158
9,G_481,G_675,G_481
