community,degree_rep,betweenness_rep,pagerank_rep
0,1132,1201,1132
1,1062,699,327
2,159,267,563
3,1050,109,985
4,360,822,841
5,1067,677,878
6,685,1252,685
7,703,30,703
8,1315,745,1315
9,293,467,293
10,1380,917,1380
11,862,226,862
12,963,839,963
13,1183,1416,1183
