node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_0,0,0.0153,0.0036,0.0224,0.0008
S_1,1,0.014,0.0002,0.0356,0.0007
S_10,2,0.01,0.001,0.0285,0.0006
S_100,1,0.0147,0.0009,0.0381,0.0008
S_1000,3,0.014,0.0006,0.0367,0.0007
S_1001,4,0.012,0.0146,0.051,0.0007
S_1002,5,0.0113,0.0001,0.0376,0.0006
S_1003,4,0.012,0.0011,0.0518,0.0007
S_1004,4,0.012,0.0001,0.0486,0.0007
S_1005,6,0.012,0.0012,0.0524,0.0006
S_1006,3,0.012,0.0031,0.0421,0.0007
S_1007,3,0.0107,0.0028,0.0392,0.0006
S_1008,7,0.012,0.0002,0.0332,0.0007
S_1009,8,0.01,0.0522,0.0607,0.0006
S_101,0,0.0167,0.0006,0.0198,0.0008
S_1010,4,0.0127,0.0146,0.051,0.0007
S_1011,6,0.0113,0.0002,0.0469,0.0006
S_1012,9,0.0147,0.0044,0.0339,0.0008
S_1013,10,0.0113,0.0001,0.0534,0.0006
S_1014,11,0.014,0.0032,0.0278,0.0008
S_1015,3,0.0113,0.0009,0.0382,0.0006
S_1016,8,0.0127,0.0004,0.0567,0.0007
S_1017,13,0.012,0.0007,0.0453,0.0007
S_1018,3,0.0147,0.0008,0.0368,0.0008
S_1019,8,0.012,0.0004,0.0544,0.0007
S_102,14,0.0167,0.0005,0.0371,0.0009
S_1020,8,0.0153,0.0029,0.0562,0.0008
S_1021,10,0.012,0.0007,0.0549,0.0007
S_1022,16,0.01,0.0575,0.0592,0.0006
S_1023,4,0.0113,0.003,0.0518,0.0006
S_1024,16,0.0113,0.0004,0.0558,0.0006
S_1025,6,0.0133,0.0533,0.053,0.0007
S_1026,3,0.014,0.0007,0.0397,0.0007
S_1027,3,0.016,0.0013,0.0433,0.0008
S_1028,4,0.0127,0.0009,0.0496,0.0007
S_1029,10,0.0133,0.0006,0.0545,0.0007
S_103,0,0.0113,0.0,0.0187,0.0006
S_1030,16,0.0113,0.0013,0.0573,0.0006
S_1031,13,0.0147,0.0006,0.0457,0.0008
S_1032,13,0.0153,0.0005,0.0456,0.0008
S_1033,7,0.012,0.0163,0.0314,0.0007
S_1034,9,0.01,0.0004,0.0338,0.0006
S_1035,7,0.01,0.0,0.0268,0.0005
S_1036,16,0.01,0.001,0.0558,0.0006
S_1037,8,0.012,0.0004,0.0553,0.0006
S_1038,4,0.0113,0.0175,0.0548,0.0006
S_1039,16,0.0113,0.0011,0.0567,0.0007
S_104,14,0.0113,0.0024,0.037,0.0006
S_1040,7,0.014,0.0,0.0268,0.0007
S_1041,5,0.0133,0.0004,0.0405,0.0007
S_1042,16,0.01,0.0001,0.0528,0.0006
S_1043,5,0.0107,0.0003,0.0393,0.0006
S_1044,8,0.0147,0.0005,0.0551,0.0008
S_1045,9,0.01,0.0,0.0324,0.0006
S_1046,9,0.0113,0.002,0.0352,0.0006
S_1047,8,0.01,0.0566,0.0589,0.0006
S_1048,6,0.0153,0.0253,0.0542,0.0008
S_1049,3,0.0127,0.0061,0.0392,0.0007
S_105,12,0.0113,0.0042,0.037,0.0006
S_1050,7,0.0133,0.0003,0.0319,0.0008
S_1051,16,0.0113,0.0004,0.0536,0.0006
S_1052,9,0.0133,0.0027,0.0338,0.0007
S_1053,4,0.01,0.0214,0.0492,0.0006
S_1054,4,0.0147,0.0026,0.0508,0.0008
S_1055,16,0.012,0.0019,0.0573,0.0006
S_1056,16,0.016,0.0014,0.0553,0.0009
S_1057,11,0.0133,0.001,0.0278,0.0007
S_1058,10,0.012,0.0035,0.0558,0.0007
S_1059,3,0.0133,0.001,0.0442,0.0007
S_106,14,0.012,0.0027,0.0384,0.0006
S_1060,3,0.0107,0.0137,0.0418,0.0006
S_1061,3,0.0107,0.0002,0.043,0.0006
S_1062,10,0.0113,0.0025,0.0575,0.0006
S_1063,8,0.0113,0.0008,0.0552,0.0006
S_1064,3,0.01,0.006,0.0421,0.0006
S_1065,10,0.0133,0.0003,0.0533,0.0007
S_1066,11,0.0127,0.0052,0.0268,0.0007
S_1067,4,0.012,0.0014,0.0532,0.0007
S_1068,10,0.012,0.0001,0.0532,0.0006
S_1069,8,0.014,0.0007,0.0553,0.0007
S_107,2,0.01,0.0006,0.0334,0.0006
S_1070,9,0.0133,0.0379,0.0325,0.0008
S_1071,5,0.0153,0.0034,0.0371,0.0008
S_1072,3,0.012,0.0,0.0381,0.0007
