community,degree_rep,betweenness_rep,pagerank_rep
0,G_213,G_381,G_213
1,G_44,G_356,G_44
2,G_1107,G_785,G_1107
3,G_315,G_109,G_315
4,G_752,G_1424,G_752
5,G_1173,G_1024,G_1173
6,G_165,G_340,G_165
7,G_995,G_358,G_995
8,G_158,G_63,G_158
9,G_1321,G_37,G_768
10,G_1437,G_703,G_891
11,G_1022,G_1111,G_1022
12,G_1261,G_573,G_1261
