community,degree_rep,betweenness_rep,pagerank_rep
0,G_158,G_63,G_158
1,G_44,G_356,G_44
2,G_1107,G_785,G_1107
3,G_1022,G_840,G_1022
4,G_752,G_1424,G_752
5,G_1437,G_703,G_891
6,G_884,G_1111,G_884
7,G_315,G_109,G_315
8,G_213,G_381,G_213
9,G_995,G_1027,G_995
10,G_165,G_1200,G_165
11,G_1321,G_573,G_1321
