community,degree_rep,betweenness_rep,pagerank_rep
0,1024,1041,1024
1,1062,1201,108
2,1145,267,1464
3,358,1035,358
4,222,226,493
5,9,1298,9
6,784,1252,784
7,66,1375,66
8,1123,1310,318
9,69,903,69
10,1183,917,1183
