node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
0,5,0.016,0.0112,0.0907,0.0007
1,1,0.0167,0.0022,0.1044,0.0007
10,2,0.0153,0.0009,0.0722,0.0006
100,3,0.0193,0.0056,0.0989,0.0007
1000,4,0.0213,0.0008,0.0607,0.0008
1001,2,0.0167,0.0032,0.08,0.0007
1002,5,0.018,0.0009,0.0972,0.0007
1003,1,0.016,0.0031,0.0997,0.0006
1004,1,0.016,0.0013,0.1,0.0006
1005,6,0.02,0.0005,0.1054,0.0007
1006,7,0.0167,0.0135,0.0775,0.0007
1007,8,0.0173,0.0019,0.0497,0.0007
1008,9,0.014,0.0016,0.1014,0.0006
1009,3,0.0167,0.0241,0.1034,0.0007
101,10,0.0147,0.0011,0.0944,0.0006
1010,11,0.0147,0.0082,0.1044,0.0006
1011,10,0.014,0.0169,0.1009,0.0006
1012,9,0.014,0.0013,0.1006,0.0006
1013,12,0.02,0.0184,0.0588,0.0008
1014,2,0.014,0.0042,0.0678,0.0006
1015,7,0.014,0.0032,0.0714,0.0006
1016,6,0.018,0.001,0.1099,0.0007
1017,13,0.0207,0.0207,0.0904,0.0008
1018,8,0.014,0.0054,0.0547,0.0006
1019,9,0.0173,0.0032,0.1049,0.0007
102,3,0.0147,0.0045,0.1024,0.0006
1020,5,0.0173,0.0008,0.0968,0.0007
1021,9,0.016,0.001,0.1009,0.0006
1022,2,0.0167,0.0012,0.0722,0.0007
1023,2,0.016,0.0005,0.0718,0.0006
1024,5,0.018,0.0009,0.0952,0.0007
1025,9,0.018,0.0024,0.101,0.0007
1026,6,0.014,0.0703,0.1149,0.0006
1027,11,0.0207,0.0016,0.0981,0.0008
1028,1,0.018,0.0009,0.1019,0.0007
1029,5,0.014,0.0002,0.0938,0.0006
103,13,0.0153,0.0038,0.085,0.0006
1030,1,0.0193,0.0027,0.1012,0.0008
1031,1,0.0173,0.0014,0.1042,0.0007
1032,3,0.0187,0.0004,0.1002,0.0007
1033,3,0.014,0.0001,0.0961,0.0006
1034,12,0.018,0.0021,0.0589,0.0007
1035,3,0.014,0.0455,0.099,0.0006
1036,4,0.0187,0.0012,0.0655,0.0007
1037,8,0.014,0.0,0.0453,0.0005
1038,9,0.0173,0.0011,0.1,0.0007
1039,6,0.02,0.0024,0.1064,0.0007
104,1,0.0173,0.0008,0.0968,0.0007
1040,3,0.0193,0.0056,0.0998,0.0007
1041,5,0.014,0.023,0.0946,0.0006
1042,7,0.014,0.0007,0.077,0.0006
1043,5,0.014,0.0263,0.0941,0.0006
1044,13,0.0193,0.0003,0.0772,0.0007
1045,7,0.014,0.0015,0.0796,0.0006
1046,11,0.014,0.0004,0.0953,0.0006
1047,13,0.022,0.0008,0.0772,0.0008
1048,12,0.02,0.0009,0.0647,0.0008
1049,4,0.018,0.0002,0.0576,0.0007
105,6,0.0147,0.0011,0.1101,0.0006
1050,3,0.022,0.0024,0.1007,0.0008
1051,9,0.0147,0.0009,0.0998,0.0006
1052,12,0.0173,0.0002,0.059,0.0007
1053,2,0.0193,0.0029,0.0803,0.0008
1054,4,0.0193,0.0005,0.0673,0.0007
1055,13,0.0213,0.0086,0.0854,0.0008
1056,8,0.016,0.0053,0.0521,0.0007
1057,10,0.016,0.0229,0.0919,0.0006
1058,13,0.014,0.0001,0.077,0.0006
1059,12,0.02,0.0013,0.0649,0.0008
106,11,0.0167,0.0023,0.099,0.0007
1060,9,0.0147,0.0027,0.1,0.0006
1061,10,0.0153,0.0002,0.0939,0.0006
1062,1,0.0213,0.002,0.0987,0.0008
1063,12,0.0187,0.0004,0.0643,0.0007
1064,10,0.0153,0.0022,0.0959,0.0006
1065,3,0.016,0.0002,0.0982,0.0006
1066,6,0.0147,0.0711,0.1144,0.0006
1067,5,0.0207,0.001,0.0938,0.0008
1068,13,0.0147,0.0003,0.0761,0.0006
1069,7,0.016,0.0064,0.0843,0.0007
107,5,0.0187,0.0036,0.0978,0.0007
1070,11,0.0153,0.0023,0.0978,0.0006
1071,6,0.0187,0.0012,0.1063,0.0007
1072,11,0.0167,0.0015,0.0977,0.0007
1073,9,0.02,0.0014,0.0993,0.0008
1074,5,0.014,0.0007,0.0897,0.0006
1075,5,0.018,0.0005,0.0927,0.0007
1076,11,0.018,0.0004,0.0961,0.0007
1077,13,0.0187,0.0041,0.0858,0.0007
1078,8,0.014,0.0047,0.0548,0.0006
1079,11,0.018,0.0004,0.0948,0.0007
108,1,0.018,0.0037,0.1037,0.0007
1080,6,0.0207,0.0017,0.1092,0.0008
1081,6,0.0187,0.0044,0.1128,0.0007
1082,12,0.014,0.0,0.0556,0.0006
1083,11,0.014,0.0035,0.0955,0.0006
1084,10,0.018,0.0015,0.0982,0.0007
1085,3,0.0193,0.0009,0.0988,0.0007
1086,6,0.018,0.0056,0.1118,0.0007
1087,4,0.018,0.0822,0.0641,0.0007
1088,4,0.016,0.007,0.0561,0.0007
1089,1,0.0153,0.0044,0.1054,0.0006
109,3,0.014,0.0885,0.0991,0.0006
1090,4,0.0153,0.0008,0.064,0.0006
1091,9,0.0167,0.0011,0.1011,0.0007
1092,7,0.0153,0.0019,0.0733,0.0006
1093,6,0.0187,0.0017,0.1098,0.0007
1094,3,0.014,0.0018,0.0999,0.0006
1095,6,0.0167,0.0032,0.1114,0.0007
1096,9,0.0147,0.0367,0.1042,0.0006
1097,9,0.02,0.0028,0.1012,0.0008
1098,13,0.0187,0.0006,0.0844,0.0007
1099,6,0.014,0.0084,0.1107,0.0006
11,11,0.018,0.0007,0.097,0.0007
110,13,0.0167,0.0003,0.077,0.0006
1100,12,0.016,0.0062,0.064,0.0006
1101,12,0.014,0.0,0.0556,0.0006
1102,13,0.014,0.02,0.0861,0.0006
1103,10,0.0167,0.0006,0.0946,0.0007
1104,1,0.016,0.0017,0.1073,0.0006
1105,7,0.014,0.0268,0.0895,0.0006
1106,10,0.0167,0.0018,0.0971,0.0007
1107,12,0.014,0.0077,0.0671,0.0006
1108,9,0.0167,0.0013,0.1012,0.0007
1109,4,0.0213,0.0004,0.0607,0.0008
111,13,0.0167,0.0026,0.0803,0.0007
1110,9,0.016,0.0008,0.1003,0.0006
1111,0,0.014,0.0932,0.1014,0.0006
1112,10,0.0147,0.0002,0.0896,0.0006
1113,10,0.0153,0.0021,0.0994,0.0006
1114,6,0.014,0.0367,0.1131,0.0006
1115,9,0.018,0.0008,0.0992,0.0007
1116,7,0.0153,0.0188,0.0798,0.0007
1117,9,0.0147,0.0071,0.1068,0.0006
1118,4,0.0167,0.018,0.0576,0.0007
1119,3,0.0193,0.0013,0.0992,0.0007
112,6,0.016,0.0006,0.1082,0.0006
1120,5,0.0173,0.0072,0.0942,0.0007
1121,9,0.014,0.0408,0.112,0.0006
1122,8,0.0207,0.0051,0.0496,0.0008
1123,8,0.018,0.0019,0.0496,0.0007
1124,0,0.0147,0.0162,0.1128,0.0006
1125,1,0.0187,0.0015,0.1039,0.0007
1126,9,0.0173,0.0038,0.103,0.0007
1127,9,0.016,0.0014,0.0993,0.0006
1128,5,0.018,0.0017,0.0916,0.0007
1129,3,0.014,0.0071,0.1049,0.0006
113,13,0.0167,0.0041,0.0851,0.0007
1130,1,0.016,0.0008,0.1001,0.0006
1131,12,0.016,0.0002,0.0655,0.0006
1132,0,0.0193,0.0161,0.1085,0.0008
1133,6,0.014,0.0135,0.1093,0.0006
1134,5,0.0147,0.0006,0.0859,0.0006
1135,7,0.014,0.0009,0.0732,0.0006
1136,6,0.0147,0.0011,0.1098,0.0006
1137,1,0.0173,0.0004,0.0979,0.0007
1138,2,0.0147,0.002,0.0803,0.0006
1139,12,0.0147,0.0025,0.0589,0.0006
114,0,0.014,0.0159,0.1053,0.0006
1140,6,0.0153,0.0013,0.1097,0.0006
1141,4,0.016,0.0014,0.0577,0.0007
1142,10,0.016,0.0025,0.0946,0.0006
1143,6,0.0193,0.0004,0.1059,0.0007
1144,5,0.014,0.0062,0.0997,0.0006
1145,2,0.0167,0.0022,0.076,0.0007
1146,5,0.018,0.0304,0.0959,0.0007
1147,11,0.0193,0.0011,0.0988,0.0007
1148,12,0.0147,0.0,0.0557,0.0006
1149,6,0.0153,0.0027,0.1083,0.0006
115,5,0.014,0.0074,0.0918,0.0006
1150,1,0.0173,0.0024,0.1001,0.0007
1151,1,0.0213,0.0027,0.0986,0.0008
1152,7,0.014,0.0002,0.0726,0.0006
1153,7,0.0167,0.0017,0.0814,0.0007
1154,13,0.0173,0.044,0.0957,0.0007
1155,7,0.016,0.0026,0.0754,0.0007
1156,2,0.0147,0.0011,0.0801,0.0006
1157,9,0.0167,0.0011,0.0983,0.0007
1158,7,0.016,0.0051,0.0753,0.0007
1159,11,0.0167,0.0006,0.0974,0.0007
116,8,0.0173,0.0022,0.0497,0.0007
1160,5,0.014,0.0055,0.0917,0.0006
1161,4,0.0167,0.0012,0.0641,0.0007
1162,9,0.0153,0.0002,0.0983,0.0006
1163,12,0.0207,0.0003,0.058,0.0008
1164,6,0.016,0.0006,0.1082,0.0006
1165,6,0.0167,0.0018,0.1096,0.0006
1166,1,0.0147,0.0008,0.1041,0.0006
1167,4,0.016,0.0003,0.0575,0.0007
1168,1,0.016,0.0015,0.1013,0.0006
1169,11,0.0173,0.0017,0.0993,0.0007
117,3,0.018,0.0008,0.099,0.0007
1170,3,0.014,0.0004,0.0992,0.0006
1171,13,0.0187,0.0009,0.0771,0.0007
1172,2,0.0167,0.001,0.0723,0.0007
1173,13,0.0153,0.0115,0.083,0.0006
1174,9,0.018,0.0017,0.1001,0.0007
1175,6,0.0167,0.0025,0.1107,0.0007
1176,6,0.018,0.002,0.1114,0.0007
1177,11,0.0193,0.0022,0.098,0.0007
1178,5,0.0147,0.0002,0.0868,0.0006
1179,9,0.0193,0.0027,0.1031,0.0007
118,6,0.014,0.0133,0.1106,0.0006
1180,5,0.014,0.0003,0.0867,0.0006
1181,9,0.0173,0.0022,0.102,0.0007
1182,7,0.0147,0.0111,0.0733,0.0006
1183,13,0.0233,0.0063,0.0855,0.0008
1184,11,0.0153,0.0012,0.0986,0.0006
1185,6,0.0167,0.0029,0.1096,0.0007
1186,13,0.0187,0.0009,0.0749,0.0007
1187,6,0.02,0.0014,0.1088,0.0007
1188,6,0.0207,0.0031,0.1115,0.0008
1189,9,0.0153,0.0004,0.099,0.0006
119,4,0.0147,0.0021,0.0674,0.0006
1190,9,0.0187,0.0008,0.1001,0.0007
1191,8,0.014,0.0014,0.0521,0.0006
1192,7,0.0147,0.0709,0.0718,0.0006
1193,1,0.016,0.0013,0.1037,0.0006
1194,4,0.0153,0.0003,0.0639,0.0006
1195,5,0.0193,0.0108,0.0966,0.0007
1196,9,0.0167,0.0071,0.1051,0.0007
1197,6,0.0193,0.004,0.1124,0.0007
1198,3,0.0153,0.0003,0.0978,0.0006
1199,4,0.0187,0.0004,0.0673,0.0007
12,3,0.0167,0.0167,0.099,0.0006
120,1,0.0147,0.0032,0.1039,0.0006
1200,11,0.0173,0.0003,0.0954,0.0007
1201,0,0.014,0.1904,0.1123,0.0006
1202,6,0.02,0.0002,0.1046,0.0007
1203,9,0.014,0.03,0.1036,0.0006
1204,3,0.018,0.0021,0.103,0.0007
1205,8,0.0147,0.0021,0.0521,0.0006
1206,1,0.0147,0.0033,0.104,0.0006
1207,4,0.016,0.0114,0.0712,0.0007
1208,5,0.0167,0.0023,0.0973,0.0007
1209,5,0.016,0.0591,0.0947,0.0007
121,3,0.016,0.0005,0.0996,0.0006
1210,7,0.0147,0.0012,0.0773,0.0006
1211,13,0.0187,0.0015,0.0897,0.0007
1212,7,0.0173,0.0003,0.0813,0.0007
1213,7,0.014,0.0076,0.0711,0.0006
1214,10,0.018,0.0012,0.0973,0.0007
1215,0,0.016,0.0378,0.1097,0.0007
1216,2,0.0153,0.0012,0.0731,0.0006
1217,0,0.014,0.0228,0.1093,0.0006
1218,3,0.014,0.0571,0.1116,0.0006
1219,6,0.0153,0.003,0.1098,0.0006
122,6,0.0147,0.0011,0.1098,0.0006
1220,12,0.0187,0.0015,0.0649,0.0007
1221,8,0.0147,0.0021,0.0521,0.0006
1222,7,0.0147,0.0082,0.0848,0.0006
