community,degree_rep,betweenness_rep,pagerank_rep
0,1024,1201,1024
1,1062,751,108
2,1145,267,1464
3,358,1035,358
4,66,822,66
5,784,1252,784
6,1183,1416,1183
7,1422,1375,1422
8,69,903,69
9,1274,917,1274
10,222,226,493
11,9,1298,9
