community,degree_rep,betweenness_rep,pagerank_rep
0,S_508,S_1456,S_508
1,S_2,S_414,S_329
2,S_115,S_224,S_115
3,S_673,S_929,S_673
4,S_1493,S_1297,S_1493
5,S_658,S_1408,S_658
6,S_1479,S_1078,S_881
7,S_622,S_1201,S_622
8,S_1143,S_994,S_1170
9,S_146,S_50,S_146
10,S_131,S_461,S_131
11,S_710,S_576,S_710
12,S_689,S_898,S_689
13,S_756,S_1342,S_756
14,S_195,S_452,S_216
