community,degree_rep,betweenness_rep,pagerank_rep
0,R_229,R_153,R_229
1,R_1120,R_386,R_1120
2,R_332,R_1010,R_332
3,R_138,R_84,R_63
4,R_165,R_48,R_690
5,R_408,R_1291,R_408
6,R_1078,R_822,R_1078
7,R_575,R_498,R_575
8,R_1114,R_263,R_913
9,R_1450,R_1444,R_1450
10,R_1476,R_248,R_1476
11,R_957,R_1240,R_975
12,R_124,R_1012,R_700
13,R_179,R_1273,R_179
14,R_1332,R_810,R_1332
15,R_147,R_241,R_147
16,R_1206,R_1261,R_373
