node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_0,0,0.0147,0.0203,0.1446,0.0006
G_1,0,0.0173,0.001,0.1318,0.0007
G_10,1,0.018,0.0063,0.1457,0.0007
G_100,0,0.0147,0.0028,0.1304,0.0006
G_1000,2,0.0173,0.0011,0.1075,0.0007
G_1001,3,0.014,0.0025,0.1061,0.0006
G_1002,4,0.0167,0.0012,0.1082,0.0007
G_1003,9,0.0153,0.0008,0.1175,0.0006
G_1004,6,0.0173,0.0023,0.1208,0.0007
G_1005,7,0.0153,0.0013,0.1375,0.0006
G_1006,7,0.0153,0.0032,0.1429,0.0006
G_1007,2,0.0147,0.0019,0.1184,0.0006
G_1008,8,0.0167,0.0013,0.0938,0.0006
G_1009,3,0.0173,0.0024,0.1158,0.0007
G_101,1,0.0173,0.0229,0.142,0.0007
G_1010,9,0.016,0.0014,0.119,0.0007
G_1011,2,0.0153,0.0053,0.1241,0.0006
G_1012,6,0.0153,0.0038,0.1243,0.0006
G_1013,2,0.014,0.0056,0.1051,0.0006
G_1014,9,0.0153,0.0126,0.1357,0.0006
G_1015,6,0.0153,0.0015,0.1246,0.0006
G_1016,11,0.0187,0.0013,0.0981,0.0007
G_1017,9,0.0187,0.0015,0.1154,0.0007
G_1018,11,0.0193,0.0036,0.0997,0.0007
G_1019,7,0.014,0.0014,0.1236,0.0006
G_102,10,0.0147,0.0165,0.1121,0.0006
G_1020,5,0.0153,0.0025,0.1214,0.0006
G_1021,9,0.0173,0.0028,0.124,0.0007
G_1022,7,0.022,0.0049,0.1264,0.0009
G_1023,3,0.0147,0.0017,0.1058,0.0006
G_1024,7,0.014,0.0976,0.1278,0.0006
G_1025,7,0.0173,0.009,0.1293,0.0007
G_1026,7,0.016,0.002,0.1259,0.0006
G_1027,5,0.016,0.0415,0.149,0.0007
G_1028,6,0.0167,0.004,0.1293,0.0007
G_1029,9,0.018,0.001,0.1104,0.0007
G_103,1,0.0173,0.0367,0.1424,0.0007
G_1030,4,0.0193,0.0034,0.1031,0.0007
G_1031,3,0.018,0.0015,0.1122,0.0007
G_1032,7,0.0167,0.0019,0.1241,0.0007
G_1033,4,0.018,0.0006,0.1009,0.0007
G_1034,11,0.0153,0.0023,0.0942,0.0006
G_1035,8,0.014,0.0,0.0803,0.0006
G_1036,3,0.0167,0.0021,0.1115,0.0007
G_1037,5,0.0187,0.0026,0.1277,0.0008
G_1038,9,0.016,0.0034,0.1245,0.0006
G_1039,6,0.0153,0.0036,0.1329,0.0006
G_104,1,0.016,0.0174,0.1409,0.0007
G_1040,8,0.0173,0.0001,0.0869,0.0007
G_1041,4,0.0167,0.0025,0.1108,0.0007
G_1042,9,0.016,0.0004,0.112,0.0006
G_1043,7,0.0147,0.0032,0.125,0.0006
G_1044,6,0.016,0.0009,0.1243,0.0006
G_1045,2,0.0153,0.0037,0.1194,0.0006
G_1046,11,0.0193,0.0012,0.0939,0.0007
G_1047,7,0.0167,0.0025,0.1214,0.0007
G_1048,7,0.0187,0.0007,0.1184,0.0007
G_1049,9,0.0147,0.0022,0.1166,0.0006
G_105,10,0.0147,0.0008,0.1144,0.0006
G_1050,11,0.02,0.0005,0.0956,0.0008
G_1051,3,0.0167,0.0079,0.117,0.0007
G_1052,7,0.016,0.0024,0.1271,0.0007
G_1053,3,0.018,0.0005,0.1138,0.0007
G_1054,3,0.016,0.032,0.1119,0.0007
G_1055,9,0.0193,0.0012,0.1235,0.0008
G_1056,7,0.0173,0.0024,0.1253,0.0007
G_1057,2,0.0153,0.0044,0.1295,0.0006
G_1058,7,0.0173,0.0008,0.1259,0.0007
G_1059,5,0.0167,0.0026,0.1367,0.0007
G_106,10,0.016,0.0012,0.1144,0.0007
G_1060,2,0.016,0.0015,0.1225,0.0006
G_1061,6,0.014,0.0005,0.1217,0.0006
G_1062,2,0.0153,0.007,0.1116,0.0006
G_1063,3,0.018,0.002,0.1072,0.0007
G_1064,7,0.0167,0.0127,0.1375,0.0007
G_1065,7,0.0153,0.0005,0.1177,0.0006
G_1066,11,0.0173,0.0107,0.0931,0.0007
G_1067,9,0.0147,0.001,0.1182,0.0006
G_1068,9,0.0173,0.004,0.1259,0.0007
G_1069,2,0.0167,0.0015,0.1218,0.0007
G_107,1,0.018,0.0018,0.1458,0.0007
G_1070,2,0.0147,0.0143,0.1032,0.0006
G_1071,8,0.0213,0.0031,0.0937,0.0008
G_1072,2,0.0173,0.0014,0.1243,0.0007
G_1073,6,0.016,0.0017,0.1253,0.0007
G_1074,4,0.0167,0.0003,0.1008,0.0007
G_1075,3,0.018,0.0048,0.1059,0.0007
G_1076,11,0.016,0.0006,0.0901,0.0006
G_1077,3,0.0173,0.0003,0.1126,0.0007
G_1078,6,0.0173,0.0012,0.126,0.0007
G_1079,4,0.0147,0.0008,0.107,0.0006
G_108,1,0.0173,0.0025,0.1467,0.0007
G_1080,5,0.016,0.0031,0.1415,0.0007
G_1081,6,0.0187,0.0017,0.127,0.0008
G_1082,0,0.0147,0.0136,0.1378,0.0006
G_1083,11,0.0167,0.0007,0.0893,0.0007
G_1084,7,0.0153,0.0059,0.1343,0.0006
G_1085,4,0.0153,0.0017,0.1048,0.0006
G_1086,11,0.014,0.0036,0.085,0.0006
G_1087,9,0.0153,0.0015,0.1127,0.0006
G_1088,5,0.0147,0.0009,0.1212,0.0006
G_1089,5,0.0167,0.0215,0.1473,0.0007
G_109,3,0.0147,0.075,0.1288,0.0006
G_1090,7,0.0193,0.0011,0.1198,0.0008
G_1091,6,0.014,0.0132,0.1266,0.0006
G_1092,7,0.0153,0.0014,0.1255,0.0006
G_1093,3,0.018,0.0022,0.1121,0.0007
G_1094,3,0.0173,0.0008,0.1023,0.0007
