community,degree_rep,betweenness_rep,pagerank_rep
0,G_490,G_381,G_490
1,G_429,G_377,G_66
2,G_915,G_1200,G_915
3,G_1208,G_650,G_1208
4,G_1285,G_1424,G_1285
5,G_309,G_840,G_309
6,G_269,G_992,G_581
7,G_144,G_83,G_89
8,G_1037,G_358,G_1037
9,G_1048,G_1467,G_1048
10,G_1071,G_797,G_1071
11,G_954,G_415,G_954
12,G_232,G_1111,G_232
13,G_18,G_436,G_18
