node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_0,0,0.0193,0.029,0.1623,0.0006
G_1,1,0.02,0.0007,0.1438,0.0006
G_10,0,0.0233,0.0023,0.1635,0.0007
G_100,1,0.0193,0.0229,0.1533,0.0006
G_1000,2,0.022,0.0007,0.1212,0.0007
G_1001,9,0.0193,0.0109,0.1178,0.0006
G_1002,4,0.0207,0.0015,0.1201,0.0006
G_1003,5,0.0193,0.001,0.1311,0.0006
G_1004,5,0.022,0.001,0.1319,0.0007
G_1005,10,0.0207,0.0044,0.156,0.0007
G_1006,7,0.02,0.002,0.1558,0.0006
G_1007,2,0.0187,0.0017,0.1297,0.0006
G_1008,8,0.022,0.0007,0.1063,0.0006
G_1009,9,0.0207,0.0035,0.1346,0.0006
G_101,9,0.02,0.0064,0.1577,0.0006
G_1010,5,0.02,0.0018,0.1326,0.0006
G_1011,2,0.0213,0.0035,0.1363,0.0007
G_1012,5,0.0187,0.0036,0.1444,0.0006
G_1013,2,0.018,0.0071,0.1167,0.0006
G_1014,7,0.0207,0.0037,0.1467,0.0006
G_1015,10,0.0207,0.0023,0.1439,0.0007
G_1016,3,0.0254,0.0024,0.1124,0.0008
G_1017,9,0.0213,0.0004,0.1254,0.0006
G_1018,3,0.0233,0.0021,0.1136,0.0007
G_1019,10,0.0233,0.0022,0.1398,0.0007
G_102,2,0.018,0.0099,0.1297,0.0006
G_1020,7,0.0207,0.0021,0.1366,0.0007
G_1021,9,0.0213,0.0027,0.141,0.0007
G_1022,10,0.026,0.0011,0.1378,0.0008
G_1023,4,0.0227,0.0015,0.1186,0.0007
G_1024,2,0.018,0.0789,0.1414,0.0006
G_1025,2,0.024,0.0033,0.1406,0.0007
G_1026,2,0.0227,0.001,0.135,0.0007
G_1027,7,0.0207,0.0167,0.1636,0.0007
G_1028,10,0.022,0.0032,0.1446,0.0007
G_1029,9,0.0247,0.001,0.1294,0.0007
G_103,9,0.0213,0.0127,0.1588,0.0007
G_1030,4,0.0233,0.0013,0.1108,0.0007
G_1031,4,0.022,0.0004,0.1239,0.0007
G_1032,10,0.0213,0.001,0.136,0.0007
G_1033,4,0.02,0.0004,0.1097,0.0006
G_1034,3,0.0213,0.0032,0.1123,0.0007
G_1035,8,0.018,0.0,0.0976,0.0006
G_1036,9,0.02,0.0009,0.1254,0.0006
G_1037,7,0.0227,0.0013,0.1382,0.0007
G_1038,9,0.0254,0.0142,0.1467,0.0008
G_1039,10,0.02,0.0021,0.1484,0.0006
G_104,0,0.0193,0.0009,0.1565,0.0006
G_1040,8,0.02,0.0,0.0976,0.0006
G_1041,4,0.022,0.0012,0.1232,0.0007
G_1042,9,0.022,0.0011,0.13,0.0007
G_1043,10,0.018,0.0014,0.1372,0.0006
G_1044,5,0.024,0.0007,0.1352,0.0007
G_1045,2,0.022,0.0023,0.1318,0.0007
G_1046,3,0.0247,0.0015,0.1072,0.0007
G_1047,2,0.0207,0.0017,0.1358,0.0006
G_1048,2,0.0227,0.0005,0.1331,0.0007
G_1049,9,0.0193,0.0033,0.1291,0.0006
G_105,1,0.02,0.003,0.1319,0.0006
G_1050,3,0.0233,0.0001,0.1078,0.0007
G_1051,4,0.0207,0.0039,0.1302,0.0006
G_1052,10,0.02,0.002,0.1419,0.0007
G_1053,4,0.024,0.0048,0.1334,0.0007
G_1054,9,0.02,0.0127,0.1238,0.0006
G_1055,7,0.0233,0.0012,0.1432,0.0007
G_1056,2,0.022,0.0009,0.1352,0.0007
G_1057,2,0.022,0.0138,0.148,0.0007
G_1058,10,0.022,0.0026,0.1407,0.0007
G_1059,7,0.022,0.0042,0.1546,0.0007
G_106,1,0.022,0.0013,0.1292,0.0007
G_1060,2,0.022,0.001,0.1373,0.0007
G_1061,5,0.0207,0.0009,0.1366,0.0007
G_1062,2,0.0193,0.002,0.123,0.0006
G_1063,4,0.0233,0.0021,0.1199,0.0007
G_1064,0,0.0207,0.0084,0.1564,0.0007
G_1065,2,0.0193,0.0005,0.136,0.0006
G_1066,3,0.0193,0.0034,0.1066,0.0006
G_1067,9,0.02,0.0013,0.1346,0.0006
G_1068,9,0.0227,0.0086,0.1464,0.0007
G_1069,2,0.0233,0.0013,0.1386,0.0007
G_107,0,0.0233,0.0005,0.1583,0.0007
G_1070,2,0.0193,0.0126,0.1168,0.0006
G_1071,8,0.0254,0.0016,0.1062,0.0007
G_1072,2,0.022,0.0005,0.1342,0.0007
G_1073,5,0.0207,0.0009,0.1381,0.0007
G_1074,4,0.02,0.0004,0.1097,0.0006
G_1075,4,0.022,0.0017,0.1139,0.0007
G_1076,3,0.0193,0.0009,0.103,0.0006
G_1077,4,0.0233,0.0038,0.1325,0.0007
G_1078,10,0.0193,0.0007,0.1459,0.0006
G_1079,4,0.0207,0.0225,0.1295,0.0006
G_108,0,0.0233,0.0015,0.1605,0.0007
G_1080,7,0.022,0.0058,0.1581,0.0007
G_1081,10,0.0227,0.0035,0.1479,0.0007
G_1082,0,0.0193,0.0135,0.1573,0.0007
G_1083,3,0.0207,0.0015,0.1052,0.0006
G_1084,2,0.0187,0.0024,0.1505,0.0006
G_1085,4,0.0193,0.0011,0.1144,0.0006
G_1086,3,0.0193,0.0079,0.0997,0.0006
G_1087,5,0.022,0.0014,0.1278,0.0007
G_1088,7,0.018,0.0014,0.137,0.0006
G_1089,7,0.0207,0.0149,0.1635,0.0007
G_109,4,0.0187,0.0529,0.1447,0.0006
G_1090,2,0.0213,0.0002,0.1287,0.0007
G_1091,5,0.018,0.0057,0.1389,0.0006
G_1092,10,0.0193,0.0007,0.1382,0.0006
G_1093,4,0.024,0.0016,0.1255,0.0007
G_1094,4,0.0213,0.0005,0.1142,0.0007
