node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_276,7,0.01,0.0015,0.1028,0.0006
G_277,11,0.0133,0.0072,0.1005,0.0007
G_278,9,0.014,0.0001,0.0737,0.0007
G_279,8,0.0113,0.0031,0.0884,0.0006
G_28,10,0.01,0.0024,0.1224,0.0006
G_280,8,0.0127,0.0009,0.0843,0.0007
G_281,2,0.0113,0.0043,0.1026,0.0006
G_282,5,0.0113,0.0007,0.097,0.0006
G_283,9,0.014,0.0015,0.0801,0.0007
G_284,3,0.0107,0.002,0.0856,0.0006
G_285,2,0.0107,0.0011,0.0996,0.0006
G_286,12,0.012,0.0007,0.1062,0.0007
G_287,13,0.01,0.0021,0.099,0.0006
G_288,9,0.0167,0.0016,0.0793,0.0008
G_289,12,0.01,0.0005,0.1071,0.0006
G_29,4,0.01,0.0059,0.0732,0.0006
G_290,9,0.01,0.0002,0.085,0.0006
G_291,13,0.0107,0.0007,0.1024,0.0006
G_292,13,0.014,0.0012,0.1087,0.0008
G_293,3,0.0127,0.0037,0.096,0.0007
G_294,3,0.01,0.0215,0.0983,0.0006
G_295,6,0.0127,0.0011,0.1035,0.0007
G_296,12,0.0107,0.0028,0.1084,0.0006
G_297,3,0.0113,0.0008,0.0963,0.0006
G_298,2,0.014,0.0069,0.1035,0.0008
G_299,5,0.0127,0.0041,0.1001,0.0007
G_3,10,0.0113,0.0017,0.1049,0.0006
G_30,0,0.0113,0.0009,0.0854,0.0006
G_300,3,0.0147,0.0012,0.0927,0.0008
G_301,9,0.016,0.0011,0.0792,0.0008
G_302,3,0.01,0.0016,0.0908,0.0006
G_303,8,0.01,0.0107,0.0811,0.0006
G_304,3,0.0113,0.0017,0.0959,0.0006
G_305,3,0.0147,0.0083,0.0967,0.0008
G_306,8,0.014,0.0004,0.087,0.0007
G_307,2,0.012,0.0015,0.0926,0.0007
G_308,13,0.0107,0.0014,0.1057,0.0006
G_309,6,0.0153,0.0021,0.1123,0.0008
G_31,4,0.0173,0.0044,0.0722,0.0009
G_310,4,0.014,0.0013,0.0833,0.0007
G_311,8,0.0127,0.004,0.0839,0.0007
G_312,8,0.0113,0.0017,0.0885,0.0006
G_313,8,0.0153,0.0017,0.0846,0.0008
G_314,3,0.0113,0.0016,0.0923,0.0007
G_315,8,0.0107,0.0012,0.086,0.0006
G_316,5,0.0133,0.0035,0.1032,0.0007
G_317,13,0.014,0.0042,0.1112,0.0008
G_318,6,0.012,0.027,0.126,0.0007
G_319,9,0.0127,0.0013,0.0801,0.0007
G_32,0,0.0153,0.0016,0.0864,0.0008
G_320,2,0.0107,0.0136,0.1216,0.0006
G_321,9,0.014,0.0026,0.0801,0.0007
G_322,12,0.014,0.0056,0.1081,0.0008
G_323,2,0.0113,0.0009,0.095,0.0006
G_324,2,0.0133,0.0027,0.0975,0.0007
G_325,5,0.0127,0.007,0.1019,0.0007
G_326,4,0.0113,0.0005,0.0791,0.0006
G_327,8,0.01,0.0008,0.0886,0.0006
G_328,2,0.0107,0.0006,0.0925,0.0006
G_329,3,0.0127,0.0039,0.0939,0.0007
G_33,1,0.0107,0.0032,0.1211,0.0006
G_330,3,0.0127,0.0013,0.1011,0.0007
G_331,7,0.0127,0.0024,0.1124,0.0007
G_332,0,0.0147,0.0005,0.0832,0.0007
G_333,10,0.0107,0.0166,0.1063,0.0006
G_334,0,0.0153,0.001,0.0858,0.0008
G_335,4,0.0167,0.0009,0.0699,0.0009
G_336,10,0.012,0.0488,0.1073,0.0007
G_337,10,0.01,0.0108,0.1064,0.0006
G_338,10,0.0133,0.0046,0.1176,0.0008
G_339,10,0.0107,0.0005,0.1168,0.0006
G_34,10,0.0113,0.0034,0.1143,0.0007
G_340,4,0.0107,0.0055,0.0799,0.0006
G_341,10,0.0127,0.0003,0.1068,0.0007
G_342,4,0.01,0.0006,0.0739,0.0006
G_343,10,0.012,0.003,0.1106,0.0007
G_344,1,0.0127,0.0006,0.117,0.0007
G_345,1,0.0133,0.0033,0.1227,0.0007
G_346,10,0.01,0.0122,0.1064,0.0006
G_347,10,0.0133,0.0079,0.1097,0.0007
G_348,4,0.0113,0.0001,0.0698,0.0006
G_349,1,0.012,0.0039,0.1203,0.0007
G_35,4,0.0113,0.0035,0.0795,0.0006
G_350,10,0.012,0.0024,0.0992,0.0007
G_351,0,0.0107,0.0001,0.0852,0.0006
G_352,10,0.01,0.0117,0.1116,0.0006
G_353,10,0.0113,0.0011,0.0997,0.0006
G_354,4,0.0147,0.0024,0.0776,0.0008
G_355,11,0.01,0.007,0.1098,0.0006
G_356,1,0.0107,0.0126,0.1199,0.0006
G_357,10,0.0127,0.0178,0.112,0.0007
G_358,13,0.01,0.0378,0.1194,0.0006
G_359,10,0.0113,0.0012,0.0986,0.0006
G_36,0,0.0107,0.0047,0.0924,0.0006
G_360,0,0.0113,0.0045,0.0904,0.0006
G_361,4,0.014,0.0031,0.0786,0.0008
G_362,0,0.0127,0.0018,0.0879,0.0007
G_363,10,0.01,0.0012,0.1015,0.0006
G_364,10,0.012,0.0057,0.0992,0.0007
G_365,1,0.01,0.0495,0.127,0.0006
G_366,10,0.0107,0.0007,0.1173,0.0006
