node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_1105,10,0.016,0.0025,0.0654,0.0006
S_1106,9,0.0153,0.0056,0.0417,0.0006
S_1107,5,0.0153,0.0006,0.0683,0.0006
S_1108,3,0.014,0.0036,0.0537,0.0006
S_1109,10,0.016,0.0001,0.0667,0.0006
S_111,0,0.0207,0.0003,0.0251,0.0008
S_1110,4,0.018,0.0002,0.0562,0.0007
S_1111,4,0.0173,0.0038,0.0621,0.0007
S_1112,4,0.0187,0.0004,0.0619,0.0007
S_1113,9,0.0187,0.0,0.0331,0.0007
S_1114,3,0.0153,0.0006,0.0538,0.0006
S_1115,10,0.0173,0.0008,0.0686,0.0007
S_1116,10,0.0167,0.0,0.0638,0.0006
S_1117,4,0.0153,0.0003,0.063,0.0006
S_1118,9,0.0207,0.0,0.0345,0.0008
S_1119,3,0.0153,0.0005,0.0482,0.0006
S_112,1,0.0147,0.0102,0.0483,0.0006
S_1120,9,0.0167,0.0,0.033,0.0006
S_1121,7,0.0187,0.0002,0.0613,0.0007
S_1122,3,0.0167,0.0004,0.0449,0.0007
S_1123,4,0.0153,0.0003,0.055,0.0006
S_1124,7,0.0173,0.0039,0.0575,0.0007
S_1125,8,0.0153,0.0002,0.0501,0.0006
S_1126,5,0.016,0.0916,0.0728,0.0006
S_1127,5,0.0213,0.0009,0.0664,0.0008
S_1128,8,0.0173,0.0005,0.0462,0.0007
S_1129,8,0.0153,0.0001,0.0486,0.0006
S_113,6,0.014,0.0065,0.0426,0.0006
S_1130,7,0.014,0.0348,0.0618,0.0006
S_1131,3,0.0147,0.013,0.0485,0.0006
S_1132,5,0.016,0.0007,0.065,0.0006
S_1133,3,0.014,0.0005,0.0544,0.0006
S_1134,3,0.016,0.0003,0.0515,0.0006
S_1135,10,0.014,0.0023,0.0687,0.0006
S_1136,5,0.0187,0.0005,0.067,0.0007
S_1137,10,0.0153,0.0023,0.0692,0.0006
S_1138,8,0.02,0.0002,0.0513,0.0008
S_1139,11,0.0167,0.002,0.0343,0.0007
S_114,6,0.0153,0.0018,0.0399,0.0006
S_1140,10,0.018,0.0004,0.067,0.0007
S_1141,9,0.016,0.0002,0.0381,0.0007
S_1142,9,0.0167,0.0007,0.0417,0.0007
S_1143,9,0.022,0.0005,0.0346,0.0008
S_1144,10,0.0153,0.0009,0.0679,0.0006
S_1145,5,0.014,0.0009,0.066,0.0006
S_1146,5,0.0187,0.0032,0.0681,0.0007
S_1147,11,0.0167,0.002,0.0343,0.0007
S_1148,3,0.014,0.0204,0.0461,0.0006
S_1149,7,0.0153,0.0073,0.0593,0.0006
S_115,0,0.0227,0.0006,0.0252,0.0008
S_1150,7,0.014,0.0008,0.0652,0.0006
S_1151,3,0.02,0.0006,0.0459,0.0008
S_1152,4,0.0147,0.0251,0.0696,0.0006
S_1153,3,0.014,0.002,0.0544,0.0006
S_1154,10,0.016,0.0001,0.0647,0.0006
S_1155,8,0.0193,0.0007,0.0486,0.0008
S_1156,4,0.022,0.0001,0.0558,0.0008
S_1157,5,0.02,0.0008,0.0664,0.0007
S_1158,10,0.0207,0.0009,0.0664,0.0008
S_1159,3,0.0147,0.0017,0.0531,0.0006
S_116,0,0.0193,0.0001,0.0251,0.0007
S_1160,8,0.0193,0.0004,0.0444,0.0007
S_1161,10,0.022,0.0011,0.0665,0.0008
S_1162,5,0.02,0.0006,0.0636,0.0007
S_1163,3,0.0153,0.0008,0.0473,0.0006
S_1164,3,0.0173,0.0017,0.049,0.0007
S_1165,4,0.0147,0.0336,0.0699,0.0006
S_1166,5,0.0167,0.0006,0.0663,0.0006
S_1167,5,0.014,0.0032,0.0713,0.0006
S_1168,4,0.0193,0.0022,0.0621,0.0007
S_1169,7,0.016,0.0023,0.0619,0.0006
S_117,2,0.0193,0.0007,0.0317,0.0008
S_1170,9,0.0227,0.004,0.0346,0.0008
S_1171,5,0.0173,0.0236,0.0715,0.0007
S_1172,5,0.014,0.0017,0.0709,0.0006
S_1173,7,0.0193,0.0006,0.0591,0.0008
S_1174,7,0.0193,0.0063,0.0625,0.0008
S_1175,5,0.0193,0.0004,0.0694,0.0008
S_1176,7,0.0147,0.0024,0.0611,0.0006
S_1177,7,0.0173,0.0035,0.0623,0.0007
S_1178,4,0.0147,0.0037,0.068,0.0006
S_1179,10,0.0227,0.0005,0.066,0.0008
S_118,1,0.014,0.0046,0.0481,0.0006
S_1180,8,0.0187,0.0002,0.0439,0.0007
S_1181,4,0.0153,0.0002,0.0597,0.0006
S_1182,3,0.0167,0.0006,0.0514,0.0007
S_1183,5,0.0173,0.0013,0.0667,0.0007
S_1184,3,0.0153,0.0584,0.0566,0.0006
S_1185,10,0.0153,0.0207,0.0701,0.0006
S_1186,7,0.0147,0.0011,0.058,0.0006
S_1187,11,0.0153,0.0004,0.0427,0.0006
S_1188,7,0.0167,0.0016,0.064,0.0007
S_1189,5,0.0153,0.0008,0.065,0.0006
S_119,1,0.0173,0.0001,0.0454,0.0007
S_1190,9,0.016,0.0015,0.0418,0.0007
S_1191,7,0.018,0.0033,0.0625,0.0007
S_1192,3,0.0167,0.0119,0.0491,0.0007
S_1193,4,0.0207,0.001,0.0647,0.0008
S_1194,5,0.0187,0.0007,0.0677,0.0007
S_1195,8,0.014,0.0014,0.0503,0.0006
S_1196,4,0.0173,0.0006,0.0652,0.0007
S_1197,3,0.0167,0.0009,0.0449,0.0007
S_1198,8,0.018,0.0,0.0512,0.0007
S_1199,10,0.014,0.0157,0.0669,0.0006
S_12,6,0.014,0.0008,0.0466,0.0006
S_120,12,0.0167,0.0003,0.0347,0.0007
S_1200,7,0.0173,0.0023,0.0662,0.0007
S_1201,10,0.014,0.1569,0.074,0.0006
S_1202,4,0.0147,0.0001,0.0562,0.0006
S_1203,11,0.0193,0.0051,0.0388,0.0008
S_1204,4,0.0193,0.0006,0.0568,0.0007
S_1205,4,0.016,0.0277,0.0678,0.0006
S_1206,10,0.014,0.0001,0.0677,0.0006
S_1207,8,0.0147,0.0229,0.0445,0.0006
S_1208,9,0.0147,0.0028,0.0381,0.0006
S_1209,5,0.0167,0.0023,0.0685,0.0006
S_121,2,0.0207,0.0004,0.0414,0.0008
S_1210,4,0.0193,0.0009,0.0652,0.0007
S_1211,4,0.018,0.0001,0.0591,0.0007
S_1212,10,0.0173,0.0002,0.0663,0.0007
S_1213,10,0.0147,0.0097,0.0692,0.0006
S_1214,3,0.016,0.0,0.047,0.0006
S_1215,10,0.0153,0.0009,0.0679,0.0006
S_1216,10,0.0173,0.0004,0.0678,0.0007
S_1217,7,0.0147,0.0002,0.0566,0.0006
S_1218,9,0.0173,0.0031,0.0363,0.0007
S_1219,5,0.0153,0.0005,0.0686,0.0006
S_122,12,0.0147,0.002,0.0349,0.0006
S_1220,3,0.0153,0.0005,0.0489,0.0006
S_1221,10,0.0153,0.0206,0.0701,0.0006
S_1222,7,0.014,0.0183,0.0592,0.0006
S_1223,5,0.02,0.0025,0.069,0.0008
S_1224,9,0.0153,0.0007,0.0381,0.0006
S_1225,4,0.0153,0.0089,0.0621,0.0006
S_1226,8,0.016,0.0005,0.0467,0.0006
S_1227,5,0.0167,0.001,0.0704,0.0007
S_1228,11,0.014,0.001,0.036,0.0006
S_1229,3,0.014,0.0007,0.0459,0.0006
S_123,6,0.0187,0.0008,0.0382,0.0007
S_1230,9,0.016,0.001,0.0417,0.0007
S_1231,7,0.0173,0.0001,0.0612,0.0007
S_1232,5,0.014,0.0007,0.0664,0.0006
S_1233,3,0.016,0.022,0.0438,0.0007
S_1234,10,0.0153,0.0018,0.0692,0.0006
S_1235,4,0.0147,0.001,0.0591,0.0006
S_1236,5,0.0187,0.0006,0.0673,0.0007
S_1237,4,0.0207,0.0011,0.0647,0.0008
S_1238,8,0.014,0.0014,0.0503,0.0006
S_1239,9,0.0147,0.0,0.0381,0.0006
S_124,6,0.016,0.0117,0.0458,0.0006
S_1240,5,0.0153,0.0008,0.065,0.0006
S_1241,4,0.0173,0.0003,0.0568,0.0007
S_1242,10,0.016,0.0209,0.0701,0.0006
S_1243,5,0.0153,0.0004,0.0677,0.0006
S_1244,10,0.014,0.0587,0.065,0.0006
S_1245,9,0.0153,0.0011,0.0397,0.0006
S_1246,11,0.014,0.0013,0.037,0.0006
S_1247,7,0.016,0.0062,0.06,0.0006
S_1248,8,0.0173,0.0003,0.0486,0.0007
S_1249,4,0.0167,0.0003,0.0563,0.0006
S_125,0,0.016,0.0002,0.0272,0.0006
S_1250,8,0.0187,0.0002,0.0467,0.0007
S_1251,5,0.0153,0.0003,0.0683,0.0006
S_1252,11,0.0153,0.0069,0.036,0.0007
S_1253,10,0.0187,0.0014,0.068,0.0007
S_1254,11,0.0193,0.0038,0.0388,0.0008
S_1255,3,0.016,0.0002,0.045,0.0006
S_1256,3,0.016,0.0003,0.0496,0.0006
S_1257,5,0.0153,0.0087,0.0709,0.0006
S_1258,3,0.0147,0.037,0.0536,0.0006
S_1259,5,0.0147,0.0018,0.0674,0.0006
S_126,2,0.0153,0.0001,0.0314,0.0006
S_1260,3,0.0147,0.037,0.0536,0.0006
S_1261,5,0.018,0.0025,0.0677,0.0007
S_1262,4,0.014,0.002,0.0618,0.0006
S_1263,5,0.0147,0.0003,0.0667,0.0006
S_1264,11,0.014,0.0039,0.0378,0.0006
S_1265,10,0.0153,0.0001,0.0666,0.0006
S_1266,10,0.014,0.06,0.0687,0.0006
S_1267,3,0.014,0.0217,0.051,0.0006
S_1268,8,0.016,0.0102,0.0463,0.0006
S_1269,11,0.014,0.0,0.0314,0.0006
S_127,2,0.0173,0.0028,0.0366,0.0007
S_1270,11,0.016,0.0015,0.0388,0.0007
S_1271,9,0.014,0.0,0.033,0.0006
S_1272,4,0.0193,0.0005,0.0566,0.0007
S_1273,10,0.0167,0.0009,0.0679,0.0007
S_1274,8,0.0193,0.0011,0.0463,0.0007
S_1275,11,0.0153,0.0029,0.0378,0.0007
S_1276,10,0.0167,0.0004,0.0678,0.0006
S_1277,9,0.016,0.004,0.0363,0.0006
S_1278,4,0.0173,0.0008,0.0662,0.0007
S_1279,11,0.0173,0.0,0.0314,0.0007
S_128,1,0.0147,0.0006,0.0467,0.0006
S_1280,10,0.0167,0.0003,0.0652,0.0006
S_1281,10,0.014,0.0039,0.0685,0.0006
S_1282,9,0.018,0.0,0.033,0.0007
S_1283,4,0.02,0.0006,0.0646,0.0008
S_1284,8,0.0147,0.001,0.0467,0.0006
S_1285,9,0.016,0.0015,0.0418,0.0007
S_1286,4,0.0187,0.0009,0.0662,0.0007
S_1287,10,0.0173,0.0002,0.0662,0.0007
S_1288,10,0.016,0.0145,0.067,0.0006
S_1289,10,0.0167,0.0003,0.0678,0.0006
S_129,12,0.0173,0.0,0.024,0.0007
S_1290,11,0.0153,0.0016,0.037,0.0007
S_1291,7,0.014,0.003,0.0599,0.0006
S_1292,4,0.0153,0.0017,0.0565,0.0006
S_1293,10,0.0167,0.0029,0.0702,0.0006
S_1294,10,0.0167,0.0004,0.0672,0.0006
S_1295,3,0.02,0.0004,0.0543,0.0008
S_1296,8,0.014,0.0037,0.0512,0.0006
S_1297,4,0.0153,0.145,0.0656,0.0006
S_1298,4,0.018,0.0013,0.0661,0.0007
S_1299,11,0.0147,0.0008,0.0344,0.0006
S_13,6,0.014,0.0067,0.047,0.0006
S_130,1,0.014,0.0053,0.0473,0.0006
S_1300,8,0.016,0.0002,0.0467,0.0006
S_1301,10,0.02,0.0008,0.0677,0.0008
S_1302,10,0.0167,0.0029,0.0702,0.0006
S_1303,11,0.0173,0.0006,0.0328,0.0007
S_1304,8,0.014,0.0014,0.0503,0.0006
S_1305,10,0.0173,0.004,0.0669,0.0007
S_1306,3,0.018,0.0019,0.0556,0.0007
S_1307,7,0.016,0.0277,0.0588,0.0006
S_1308,5,0.0147,0.01,0.0714,0.0006
S_1309,4,0.018,0.0004,0.0568,0.0007
S_131,12,0.024,0.0007,0.0247,0.0009
S_1310,7,0.0147,0.0345,0.0613,0.0006
S_1311,11,0.0167,0.0003,0.0396,0.0007
