node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_0,0,0.0147,0.0188,0.1442,0.0006
G_1,0,0.0173,0.001,0.1321,0.0007
G_10,0,0.018,0.0062,0.1461,0.0007
G_100,1,0.0147,0.0028,0.1304,0.0006
G_1000,2,0.0173,0.0012,0.1075,0.0007
G_1001,3,0.014,0.0026,0.1061,0.0006
G_1002,4,0.0167,0.0012,0.1082,0.0007
G_1003,11,0.0153,0.0008,0.1175,0.0006
G_1004,11,0.0173,0.0023,0.1208,0.0007
G_1005,6,0.0153,0.0013,0.1372,0.0006
G_1006,7,0.0153,0.0034,0.1429,0.0006
G_1007,2,0.0147,0.0018,0.1184,0.0006
G_1008,4,0.0167,0.0013,0.0938,0.0006
G_1009,8,0.0173,0.0021,0.1158,0.0007
G_101,8,0.0173,0.0227,0.142,0.0007
G_1010,11,0.016,0.0014,0.119,0.0007
G_1011,2,0.0153,0.0047,0.1238,0.0006
G_1012,9,0.0153,0.0038,0.1243,0.0006
G_1013,2,0.014,0.0056,0.1053,0.0006
G_1014,7,0.0153,0.0113,0.1355,0.0006
G_1015,9,0.0153,0.0015,0.1248,0.0006
G_1016,10,0.0187,0.0013,0.0981,0.0007
G_1017,11,0.0187,0.0015,0.1153,0.0007
G_1018,10,0.0193,0.0035,0.0996,0.0007
G_1019,6,0.014,0.0014,0.1234,0.0006
G_102,1,0.0147,0.016,0.1121,0.0006
G_1020,11,0.0153,0.0025,0.1214,0.0006
G_1021,8,0.0173,0.0023,0.1239,0.0007
G_1022,6,0.022,0.0048,0.1264,0.0009
G_1023,8,0.0147,0.0018,0.1058,0.0006
G_1024,12,0.014,0.0974,0.1278,0.0006
G_1025,12,0.0173,0.0089,0.129,0.0007
G_1026,12,0.016,0.002,0.1257,0.0006
G_1027,7,0.0153,0.05,0.1489,0.0006
G_1028,6,0.0167,0.004,0.1293,0.0007
G_1029,11,0.018,0.0009,0.1104,0.0007
G_103,8,0.0173,0.0359,0.139,0.0007
G_1030,4,0.0193,0.0034,0.1031,0.0007
G_1031,8,0.018,0.0011,0.1103,0.0007
G_1032,6,0.0167,0.0019,0.124,0.0007
G_1033,3,0.018,0.0006,0.1009,0.0007
G_1034,10,0.0153,0.0021,0.0942,0.0006
G_1035,4,0.014,0.0,0.0803,0.0006
G_1036,8,0.0167,0.002,0.1115,0.0007
G_1037,7,0.0187,0.0025,0.1276,0.0008
G_1038,8,0.016,0.003,0.1245,0.0006
G_1039,9,0.0153,0.0036,0.1329,0.0006
G_104,0,0.016,0.0176,0.1412,0.0007
G_1040,4,0.0173,0.0001,0.0869,0.0007
G_1041,4,0.0167,0.0025,0.1108,0.0007
G_1042,8,0.016,0.0003,0.1119,0.0006
G_1043,6,0.0147,0.0032,0.1249,0.0006
G_1044,11,0.016,0.0009,0.1243,0.0006
G_1045,2,0.0153,0.0036,0.1192,0.0006
G_1046,10,0.0193,0.0012,0.0938,0.0007
G_1047,12,0.0167,0.0025,0.1212,0.0007
G_1048,12,0.0187,0.0007,0.1183,0.0007
G_1049,11,0.0147,0.0022,0.1166,0.0006
G_105,1,0.0147,0.0008,0.1146,0.0006
G_1050,10,0.02,0.0005,0.0955,0.0008
G_1051,8,0.0167,0.0083,0.117,0.0007
G_1052,6,0.016,0.0024,0.1268,0.0007
G_1053,8,0.018,0.0006,0.1138,0.0007
G_1054,3,0.016,0.0323,0.1119,0.0007
G_1055,7,0.0193,0.0011,0.1235,0.0008
G_1056,12,0.0173,0.0024,0.1251,0.0007
G_1057,12,0.0153,0.004,0.1292,0.0006
G_1058,6,0.0173,0.0008,0.1258,0.0007
G_1059,7,0.0167,0.0026,0.1367,0.0007
G_106,1,0.016,0.0013,0.1146,0.0007
G_1060,12,0.016,0.0014,0.1222,0.0006
G_1061,9,0.014,0.0005,0.1216,0.0006
G_1062,2,0.0153,0.0069,0.1115,0.0006
G_1063,3,0.018,0.0018,0.106,0.0007
G_1064,12,0.0167,0.0131,0.1372,0.0007
G_1065,12,0.0153,0.0005,0.1176,0.0006
G_1066,10,0.0173,0.0106,0.0931,0.0007
G_1067,11,0.0147,0.001,0.1182,0.0006
G_1068,8,0.0173,0.0035,0.1257,0.0007
G_1069,12,0.0167,0.0015,0.1215,0.0007
G_107,0,0.018,0.0017,0.1453,0.0007
G_1070,2,0.0147,0.0147,0.1032,0.0006
G_1071,4,0.0213,0.0031,0.0937,0.0008
G_1072,12,0.0173,0.0014,0.1241,0.0007
G_1073,9,0.016,0.0017,0.1253,0.0007
G_1074,3,0.0167,0.0003,0.1008,0.0007
G_1075,3,0.018,0.0046,0.1052,0.0007
G_1076,10,0.016,0.0006,0.0901,0.0006
G_1077,8,0.0173,0.0004,0.1126,0.0007
