community,degree_rep,betweenness_rep,pagerank_rep
0,G_12,G_477,G_86
1,G_87,G_63,G_87
2,G_1290,G_1024,G_1290
3,G_1321,G_294,G_1321
4,G_1238,G_415,G_990
5,G_887,G_1358,G_887
6,G_1022,G_1111,G_1022
7,G_574,G_1256,G_574
8,G_640,G_1126,G_640
9,G_213,G_381,G_213
10,G_481,G_675,G_481
