community,degree_rep,betweenness_rep,pagerank_rep
0,S_115,S_321,S_115
1,S_2,S_414,S_2
2,S_329,S_458,S_329
3,S_673,S_775,S_673
4,S_756,S_1297,S_756
5,S_508,S_528,S_622
6,S_195,S_132,S_229
7,S_1479,S_1078,S_881
8,S_658,S_746,S_658
9,S_1170,S_994,S_1170
10,S_710,S_1201,S_710
11,S_689,S_898,S_689
12,S_131,S_374,S_131
