community,degree_rep,betweenness_rep,pagerank_rep
0,S_115,S_321,S_115
1,S_2,S_414,S_2
2,S_329,S_458,S_329
3,S_896,S_929,S_896
4,S_710,S_1201,S_710
5,S_658,S_1408,S_658
6,S_1493,S_1297,S_1493
7,S_673,S_1078,S_673
8,S_508,S_528,S_622
9,S_1143,S_994,S_1170
10,S_195,S_132,S_195
11,S_756,S_1342,S_756
12,S_131,S_374,S_131
13,S_689,S_468,S_689
