node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
0,0,0.0127,0.0214,0.0773,0.0007
1,1,0.0107,0.0001,0.085,0.0006
10,2,0.0107,0.0023,0.0639,0.0006
100,9,0.014,0.0302,0.086,0.0007
1000,4,0.0127,0.0098,0.0524,0.0007
1001,2,0.0133,0.01,0.0702,0.0007
1002,5,0.0127,0.0018,0.0816,0.0007
1003,1,0.0113,0.0029,0.0837,0.0006
1004,1,0.01,0.0012,0.0826,0.0006
1005,6,0.016,0.0016,0.0895,0.0008
1006,7,0.012,0.002,0.0659,0.0007
1007,8,0.0113,0.003,0.0393,0.0006
1008,9,0.01,0.0037,0.0876,0.0006
1009,9,0.0113,0.0879,0.0891,0.0006
101,10,0.0107,0.0012,0.0804,0.0006
1010,11,0.01,0.0011,0.0864,0.0006
1011,10,0.01,0.0066,0.0854,0.0006
1012,9,0.01,0.0021,0.0866,0.0006
1013,12,0.012,0.0036,0.048,0.0007
1014,2,0.01,0.0099,0.0583,0.0006
1015,7,0.01,0.001,0.0602,0.0006
1016,13,0.0133,0.0009,0.0896,0.0007
1017,14,0.0107,0.0016,0.0737,0.0006
1018,8,0.01,0.0006,0.0424,0.0006
1019,9,0.0113,0.0008,0.0855,0.0006
102,9,0.0107,0.0213,0.0877,0.0006
1020,5,0.0147,0.0007,0.0815,0.0008
1021,15,0.0133,0.0022,0.0865,0.0007
1022,2,0.0113,0.0026,0.0639,0.0006
1023,2,0.0127,0.0019,0.0637,0.0007
1024,5,0.0127,0.0017,0.0802,0.0007
1025,15,0.0113,0.0017,0.0863,0.0006
1026,6,0.0107,0.0728,0.0936,0.0006
1027,11,0.0133,0.0018,0.0836,0.0007
1028,1,0.012,0.0011,0.0844,0.0007
1029,5,0.01,0.0007,0.0795,0.0006
103,2,0.0113,0.0003,0.0699,0.0006
1030,1,0.0113,0.0014,0.0856,0.0006
1031,6,0.0107,0.0007,0.0849,0.0006
1032,9,0.0173,0.0025,0.085,0.0009
1033,9,0.01,0.0048,0.0831,0.0006
1034,12,0.0113,0.0083,0.0503,0.0006
1035,9,0.01,0.0028,0.0796,0.0006
1036,4,0.0127,0.0044,0.055,0.0007
1037,8,0.01,0.0,0.0365,0.0005
1038,11,0.0133,0.0018,0.0851,0.0007
1039,6,0.0113,0.0003,0.087,0.0006
104,1,0.014,0.0028,0.0818,0.0007
1040,9,0.012,0.0115,0.0849,0.0006
1041,0,0.01,0.0284,0.0814,0.0006
1042,7,0.0113,0.0045,0.0656,0.0007
1043,0,0.01,0.0636,0.0814,0.0006
1044,14,0.016,0.0017,0.0663,0.0008
1045,7,0.0113,0.0225,0.069,0.0007
1046,11,0.012,0.0054,0.084,0.0006
1047,14,0.0127,0.0006,0.0662,0.0007
1048,12,0.0153,0.0013,0.0536,0.0008
1049,8,0.0127,0.0089,0.0502,0.0007
105,13,0.0127,0.0018,0.0903,0.0007
1050,9,0.016,0.0135,0.085,0.0008
1051,11,0.0113,0.0003,0.0834,0.0006
1052,12,0.0133,0.0021,0.0503,0.0007
1053,2,0.014,0.0005,0.0665,0.0008
1054,4,0.0113,0.0004,0.0572,0.0006
1055,14,0.0113,0.0003,0.0703,0.0006
1056,8,0.0113,0.0163,0.0425,0.0007
1057,10,0.0113,0.0597,0.0792,0.0006
1058,14,0.0107,0.0014,0.0663,0.0006
1059,12,0.014,0.0018,0.0542,0.0007
106,11,0.0127,0.0018,0.0864,0.0007
1060,11,0.0107,0.0055,0.0863,0.0006
1061,10,0.012,0.0019,0.0815,0.0007
1062,1,0.0127,0.0004,0.0803,0.0007
1063,12,0.014,0.001,0.0529,0.0008
1064,10,0.0127,0.0013,0.0814,0.0007
1065,9,0.0127,0.0008,0.085,0.0007
1066,6,0.0113,0.2363,0.0975,0.0006
1067,5,0.0153,0.0019,0.0787,0.0008
