community,degree_rep,betweenness_rep,pagerank_rep
0,1178,825,513
1,21,124,21
2,977,267,977
3,1339,1201,1339
4,1224,822,484
5,407,1209,407
6,782,1066,782
7,694,586,694
8,1391,1310,1391
9,1032,109,1032
10,983,917,983
11,1403,903,1403
12,1290,839,1299
13,245,1325,245
14,1044,1416,1186
15,1353,1203,1353
