community,degree_rep,betweenness_rep,pagerank_rep
0,S_25,S_377,S_25
1,S_195,S_414,S_274
2,S_45,S_248,S_57
3,S_1096,S_1260,S_1096
4,S_654,S_1297,S_654
5,S_1160,S_1408,S_658
6,S_552,S_775,S_552
7,S_1374,S_994,S_1050
8,S_1065,S_788,S_1065
9,S_1364,S_898,S_1364
10,S_1349,S_1342,S_1349
11,S_715,S_1201,S_715
12,S_368,S_13,S_368
13,S_205,S_340,S_205
