community,degree_rep,betweenness_rep,pagerank_rep
0,R_1206,R_1261,R_373
1,R_179,R_182,R_179
2,R_408,R_806,R_408
3,R_28,R_1208,R_28
4,R_1476,R_48,R_1476
5,R_1149,R_1273,R_1149
6,R_1332,R_810,R_1332
7,R_1114,R_263,R_429
8,R_1450,R_1444,R_1450
9,R_975,R_635,R_975
10,R_575,R_1291,R_575
11,R_563,R_1116,R_563
12,R_1120,R_248,R_1120
13,R_957,R_643,R_957
14,R_138,R_84,R_63
15,R_147,R_241,R_147
