community,degree_rep,betweenness_rep,pagerank_rep
0,1067,677,878
1,333,1252,333
2,159,267,563
3,1050,109,985
4,841,822,841
5,1183,1416,1183
6,1062,1201,21
7,685,602,685
8,703,30,703
9,1315,706,1315
10,293,467,293
11,1380,917,1380
12,862,226,862
13,963,839,963
