node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_0,0,0.022,0.0019,0.0701,0.0007
R_1,1,0.0213,0.0011,0.0532,0.0007
R_10,2,0.02,0.0078,0.0693,0.0007
R_100,3,0.0233,0.0004,0.074,0.0007
R_1000,4,0.0207,0.0585,0.0907,0.0006
R_1001,5,0.0254,0.0026,0.0688,0.0008
R_1002,2,0.0187,0.0004,0.0716,0.0006
R_1003,6,0.0227,0.0022,0.0863,0.0007
R_1004,7,0.0187,0.0003,0.0758,0.0006
R_1005,7,0.0193,0.0017,0.085,0.0006
R_1006,4,0.0193,0.0007,0.0857,0.0006
R_1007,4,0.0287,0.0176,0.0844,0.0008
R_1008,8,0.0207,0.0077,0.0535,0.0006
R_1009,7,0.0207,0.0008,0.0742,0.0006
R_101,3,0.0274,0.0038,0.0745,0.0008
R_1010,5,0.0187,0.0111,0.0726,0.0006
R_1011,9,0.02,0.0021,0.0897,0.0006
R_1012,5,0.018,0.1408,0.0692,0.0006
R_1013,4,0.0247,0.0013,0.088,0.0008
R_1014,7,0.0254,0.0012,0.0777,0.0007
R_1015,9,0.02,0.0082,0.0898,0.0006
R_1016,2,0.0207,0.0005,0.0747,0.0006
R_1017,6,0.0247,0.0006,0.0816,0.0008
R_1018,4,0.02,0.0006,0.0851,0.0006
R_1019,2,0.0207,0.0014,0.0783,0.0006
R_102,0,0.02,0.0008,0.0648,0.0006
R_1020,6,0.024,0.0005,0.0816,0.0007
R_1021,6,0.022,0.0017,0.0851,0.0007
R_1022,6,0.0227,0.0013,0.0806,0.0007
R_1023,7,0.022,0.0028,0.0804,0.0007
R_1024,8,0.0187,0.0006,0.0597,0.0006
R_1025,5,0.018,0.0006,0.0658,0.0006
R_1026,6,0.0213,0.0006,0.0816,0.0007
R_1027,2,0.018,0.0004,0.0686,0.0006
R_1028,7,0.0207,0.0016,0.0772,0.0006
R_1029,6,0.02,0.0127,0.0849,0.0006
R_103,3,0.0207,0.0026,0.0824,0.0006
R_1030,6,0.018,0.0022,0.0777,0.0006
R_1031,6,0.0193,0.0023,0.08,0.0006
R_1032,7,0.022,0.0002,0.0731,0.0007
R_1033,4,0.0193,0.057,0.0907,0.0006
R_1034,2,0.0193,0.001,0.0721,0.0006
R_1035,8,0.018,0.0,0.0487,0.0006
R_1036,8,0.0193,0.0033,0.0598,0.0006
R_1037,6,0.0233,0.0015,0.0817,0.0007
R_1038,4,0.0187,0.0091,0.0865,0.0006
R_1039,7,0.0233,0.0007,0.0778,0.0007
R_104,1,0.0247,0.0014,0.0575,0.0008
R_1040,8,0.0213,0.0,0.0489,0.0006
R_1041,8,0.0207,0.0006,0.0565,0.0006
R_1042,8,0.0193,0.0066,0.0566,0.0006
R_1043,8,0.0267,0.0018,0.0563,0.0008
R_1044,9,0.0294,0.0027,0.0871,0.0009
R_1045,9,0.024,0.0009,0.0849,0.0007
R_1046,9,0.0193,0.0034,0.0889,0.0006
R_1047,5,0.02,0.0003,0.0656,0.0006
R_1048,5,0.0233,0.002,0.0687,0.0007
R_1049,8,0.0207,0.0012,0.0542,0.0006
R_105,1,0.02,0.0008,0.0604,0.0006
R_1050,9,0.0233,0.0006,0.0855,0.0007
R_1051,4,0.018,0.0452,0.0851,0.0006
R_1052,7,0.022,0.0065,0.0827,0.0007
R_1053,7,0.0207,0.0134,0.0852,0.0006
R_1054,5,0.0213,0.0007,0.0685,0.0007
R_1055,7,0.024,0.0014,0.0745,0.0007
R_1056,4,0.022,0.0018,0.0866,0.0007
R_1057,4,0.028,0.0189,0.0848,0.0008
R_1058,2,0.022,0.0008,0.0754,0.0007
R_1059,4,0.0227,0.0023,0.0878,0.0007
R_106,0,0.0287,0.0031,0.0702,0.0008
R_1060,7,0.022,0.0044,0.0851,0.0007
R_1061,7,0.0247,0.0006,0.0742,0.0007
R_1062,2,0.02,0.0058,0.0796,0.0006
R_1063,9,0.0187,0.0028,0.0889,0.0006
R_1064,4,0.028,0.0117,0.0864,0.0008
R_1065,7,0.0213,0.0044,0.0819,0.0007
R_1066,9,0.0187,0.0557,0.0938,0.0006
R_1067,2,0.018,0.0002,0.0686,0.0006
R_1068,7,0.0213,0.0002,0.0741,0.0007
R_1069,7,0.018,0.0059,0.0765,0.0006
R_107,7,0.02,0.0017,0.0773,0.0006
R_1070,4,0.028,0.0012,0.0849,0.0008
R_1071,6,0.0233,0.0012,0.0832,0.0007
R_1072,7,0.024,0.0006,0.0803,0.0007
R_1073,9,0.0254,0.0009,0.0873,0.0007
R_1074,5,0.022,0.0023,0.0687,0.0007
R_1075,8,0.024,0.0005,0.0565,0.0007
R_1076,6,0.02,0.004,0.0872,0.0006
R_1077,6,0.026,0.0032,0.0852,0.0008
R_1078,6,0.024,0.0012,0.0812,0.0007
R_1079,6,0.0193,0.0054,0.0838,0.0006
R_108,3,0.0233,0.0036,0.0749,0.0007
R_1080,5,0.0213,0.0004,0.0655,0.0007
R_1081,6,0.024,0.0018,0.0835,0.0007
R_1082,4,0.0187,0.062,0.0828,0.0006
R_1083,9,0.02,0.0002,0.0862,0.0006
R_1084,7,0.0247,0.0013,0.0744,0.0007
R_1085,6,0.022,0.0009,0.0802,0.0007
R_1086,4,0.0193,0.2459,0.0873,0.0006
R_1087,8,0.028,0.0019,0.0596,0.0008
R_1088,6,0.024,0.0053,0.0888,0.0007
R_1089,7,0.024,0.0008,0.0775,0.0007
R_109,8,0.0267,0.0013,0.0539,0.0008
R_1090,2,0.0207,0.0008,0.0716,0.0007
R_1091,7,0.018,0.0007,0.0738,0.0006
R_1092,6,0.0213,0.0013,0.085,0.0007
R_1093,8,0.0207,0.0009,0.0598,0.0006
R_1094,7,0.02,0.0006,0.0766,0.0006
R_1095,7,0.02,0.0002,0.0758,0.0006
R_1096,9,0.0227,0.0021,0.0901,0.0007
R_1097,6,0.0193,0.0023,0.0812,0.0006
R_1098,7,0.0187,0.0043,0.0718,0.0006
R_1099,9,0.0233,0.0008,0.0866,0.0007
R_11,9,0.0233,0.0011,0.0868,0.0007
R_110,6,0.0187,0.0017,0.0782,0.0006
R_1100,2,0.02,0.0005,0.0716,0.0006
R_1101,4,0.0213,0.001,0.0825,0.0006
R_1102,6,0.022,0.0003,0.0773,0.0007
R_1103,4,0.018,0.018,0.0864,0.0006
R_1104,9,0.0233,0.0053,0.0903,0.0007
R_1105,8,0.02,0.0,0.0488,0.0006
R_1106,5,0.0247,0.0025,0.0657,0.0008
R_1107,4,0.024,0.0036,0.0864,0.0007
R_1108,2,0.024,0.0007,0.0686,0.0007
R_1109,5,0.018,0.0613,0.0657,0.0006
R_111,3,0.0213,0.0026,0.0769,0.0006
R_1110,2,0.0193,0.0059,0.0663,0.0006
R_1111,8,0.0187,0.0025,0.0538,0.0006
R_1112,7,0.0207,0.0007,0.0763,0.0006
R_1113,3,0.0187,0.0001,0.0804,0.0006
R_1114,7,0.0213,0.0016,0.0834,0.0007
R_1115,6,0.018,0.0023,0.0812,0.0006
R_1116,2,0.0187,0.2043,0.0767,0.0006
R_1117,6,0.0233,0.0013,0.0835,0.0007
R_1118,3,0.024,0.0003,0.0746,0.0007
R_1119,0,0.024,0.0012,0.067,0.0007
R_112,1,0.0207,0.0004,0.049,0.0007
R_1120,3,0.024,0.0069,0.0824,0.0007
