community,degree_rep,betweenness_rep,pagerank_rep
0,R_277,R_1230,R_277
1,R_1176,R_1273,R_1176
2,R_430,R_1402,R_437
3,R_1225,R_386,R_1225
4,R_1441,R_162,R_1441
5,R_1077,R_822,R_1077
6,R_525,R_335,R_525
7,R_1247,R_810,R_1247
8,R_194,R_896,R_1070
9,R_643,R_657,R_643
10,R_1087,R_1012,R_1087
