node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_1105,10,0.0167,0.0001,0.0418,0.0007
R_1106,5,0.018,0.0021,0.0562,0.0007
R_1107,9,0.0193,0.0013,0.0743,0.0007
R_1108,5,0.0167,0.002,0.0611,0.0007
R_1109,5,0.014,0.0866,0.0564,0.0006
R_111,7,0.0153,0.0181,0.069,0.0006
R_1110,2,0.016,0.0051,0.0587,0.0007
R_1111,10,0.0153,0.0074,0.0473,0.0006
R_1112,11,0.016,0.0006,0.0672,0.0006
R_1113,7,0.014,0.0071,0.072,0.0006
R_1114,6,0.0173,0.0008,0.0723,0.0007
R_1115,6,0.014,0.0023,0.0727,0.0006
R_1116,5,0.0147,0.2265,0.0672,0.0006
R_1117,6,0.0187,0.0034,0.0736,0.0007
R_1118,7,0.02,0.0032,0.0654,0.0008
R_1119,0,0.0193,0.0004,0.059,0.0007
R_112,1,0.016,0.0001,0.0433,0.0006
R_1120,7,0.0207,0.0022,0.0705,0.0008
R_1121,1,0.018,0.005,0.045,0.0007
R_1122,8,0.0173,0.0055,0.0784,0.0007
R_1123,0,0.0153,0.0008,0.0558,0.0006
R_1124,3,0.0213,0.0014,0.0519,0.0008
R_1125,7,0.0173,0.0061,0.0699,0.0007
R_1126,6,0.0173,0.0009,0.0683,0.0007
R_1127,6,0.0153,0.0008,0.0737,0.0006
R_1128,0,0.014,0.0003,0.0573,0.0006
R_1129,7,0.0213,0.0017,0.0651,0.0008
R_113,1,0.016,0.0001,0.0433,0.0006
R_1130,5,0.0187,0.0018,0.0612,0.0008
R_1131,4,0.0153,0.0012,0.0431,0.0006
R_1132,3,0.0153,0.0021,0.0501,0.0006
R_1133,1,0.016,0.0009,0.0431,0.0007
R_1134,8,0.0167,0.0005,0.0745,0.0006
R_1135,0,0.02,0.0017,0.0556,0.0008
R_1136,0,0.0173,0.0002,0.0535,0.0007
R_1137,2,0.014,0.0004,0.0632,0.0006
R_1138,2,0.014,0.0009,0.0627,0.0006
R_1139,4,0.02,0.0043,0.0388,0.0008
R_114,3,0.018,0.0196,0.0539,0.0007
R_1140,8,0.014,0.0126,0.0755,0.0006
R_1141,0,0.0193,0.0005,0.0613,0.0007
R_1142,11,0.0153,0.0001,0.0638,0.0006
R_1143,7,0.0147,0.001,0.0667,0.0006
R_1144,1,0.02,0.0004,0.0447,0.0008
R_1145,3,0.0167,0.0286,0.0501,0.0007
R_1146,8,0.0147,0.0001,0.0741,0.0006
R_1147,8,0.014,0.0065,0.0786,0.0006
R_1148,9,0.0173,0.0007,0.0715,0.0007
R_1149,1,0.02,0.0015,0.0448,0.0008
R_115,7,0.016,0.0002,0.066,0.0006
R_1150,3,0.0153,0.007,0.0522,0.0006
R_1151,4,0.016,0.0023,0.0431,0.0007
R_1152,7,0.016,0.0035,0.065,0.0006
R_1153,0,0.0167,0.0007,0.0538,0.0007
R_1154,0,0.0153,0.0018,0.0594,0.0006
R_1155,0,0.016,0.0065,0.0632,0.0006
R_1156,10,0.0167,0.0018,0.0436,0.0007
R_1157,2,0.0153,0.0017,0.064,0.0006
R_1158,3,0.0153,0.0003,0.0519,0.0006
R_1159,8,0.0153,0.001,0.0738,0.0006
R_116,7,0.0173,0.0008,0.066,0.0007
R_1160,5,0.0147,0.0275,0.0644,0.0006
R_1161,3,0.0173,0.0009,0.0501,0.0007
R_1162,10,0.014,0.0119,0.0473,0.0006
R_1163,3,0.014,0.0322,0.0522,0.0006
R_1164,0,0.014,0.036,0.0579,0.0006
R_1165,2,0.016,0.0008,0.064,0.0007
R_1166,0,0.014,0.0528,0.0598,0.0006
R_1167,8,0.0153,0.0012,0.0744,0.0006
R_1168,5,0.0173,0.0094,0.0641,0.0007
R_1169,4,0.0187,0.0021,0.04,0.0007
R_117,3,0.016,0.0005,0.0519,0.0006
R_1170,7,0.018,0.0006,0.0676,0.0007
R_1171,3,0.016,0.0003,0.0483,0.0006
R_1172,0,0.0167,0.0006,0.0537,0.0007
R_1173,3,0.018,0.0008,0.0484,0.0007
R_1174,7,0.0213,0.002,0.0676,0.0008
R_1175,3,0.0187,0.0015,0.0483,0.0007
R_1176,1,0.022,0.0026,0.0448,0.0008
R_1177,4,0.0167,0.0021,0.0431,0.0007
R_1178,11,0.014,0.0152,0.0685,0.0006
R_1179,6,0.0153,0.0018,0.0775,0.0006
R_118,6,0.0167,0.0034,0.0752,0.0007
R_1180,7,0.0193,0.0054,0.0651,0.0007
R_1181,7,0.0207,0.0094,0.0668,0.0008
R_1182,1,0.0193,0.0001,0.0434,0.0008
R_1183,8,0.018,0.0163,0.0808,0.0007
R_1184,6,0.014,0.001,0.0705,0.0006
R_1185,4,0.014,0.0043,0.0433,0.0006
R_1186,3,0.018,0.0015,0.0519,0.0007
R_1187,4,0.0147,0.0013,0.0417,0.0006
R_1188,4,0.0193,0.0009,0.0415,0.0007
R_1189,10,0.018,0.0016,0.0457,0.0007
R_119,1,0.016,0.0017,0.0467,0.0006
R_1190,0,0.0193,0.0021,0.0614,0.0007
R_1191,3,0.018,0.0004,0.0484,0.0007
R_1192,1,0.0153,0.0001,0.0464,0.0006
R_1193,0,0.0167,0.001,0.0591,0.0006
R_1194,8,0.014,0.1136,0.0813,0.0006
R_1195,11,0.018,0.0047,0.0687,0.0007
R_1196,6,0.0187,0.0005,0.0695,0.0007
R_1197,6,0.022,0.0033,0.0739,0.0008
R_1198,10,0.016,0.042,0.054,0.0006
R_1199,10,0.0173,0.0001,0.0418,0.0007
R_12,1,0.0167,0.0005,0.0482,0.0007
R_120,2,0.0167,0.0091,0.0686,0.0007
R_1200,3,0.0167,0.0008,0.0519,0.0007
R_1201,0,0.0187,0.0021,0.0614,0.0007
R_1202,4,0.0147,0.0003,0.04,0.0006
R_1203,4,0.02,0.0002,0.0374,0.0008
R_1204,7,0.0173,0.0066,0.0672,0.0007
R_1205,7,0.0153,0.021,0.065,0.0006
R_1206,0,0.016,0.0004,0.0556,0.0007
R_1207,3,0.014,0.0307,0.052,0.0006
R_1208,7,0.016,0.036,0.0679,0.0006
R_1209,11,0.018,0.0048,0.0707,0.0007
R_121,1,0.0153,0.0001,0.0464,0.0006
R_1210,7,0.0153,0.0014,0.0683,0.0006
R_1211,2,0.0147,0.0017,0.0633,0.0006
R_1212,4,0.0173,0.0007,0.04,0.0007
R_1213,3,0.014,0.0651,0.0541,0.0006
R_1214,8,0.0167,0.0013,0.0744,0.0007
R_1215,3,0.0153,0.0007,0.0481,0.0006
R_1216,1,0.0167,0.0015,0.0467,0.0007
R_1217,3,0.018,0.0004,0.0483,0.0007
R_1218,7,0.014,0.0003,0.065,0.0006
R_1219,1,0.0173,0.0004,0.0465,0.0007
R_122,0,0.016,0.0028,0.0614,0.0006
R_1220,3,0.0147,0.008,0.0485,0.0006
R_1221,0,0.018,0.0006,0.0626,0.0007
R_1222,4,0.0207,0.0003,0.0374,0.0008
R_1223,11,0.014,0.034,0.0725,0.0006
R_1224,0,0.0173,0.0006,0.0555,0.0007
R_1225,7,0.024,0.0007,0.0644,0.0009
R_1226,10,0.0147,0.0,0.0402,0.0006
R_1227,0,0.0173,0.0021,0.0578,0.0007
R_1228,3,0.0167,0.0003,0.0484,0.0007
R_1229,8,0.0187,0.0015,0.0783,0.0007
R_123,0,0.0147,0.064,0.0598,0.0006
R_1230,0,0.0147,0.1688,0.066,0.0006
R_1231,3,0.0147,0.0004,0.0499,0.0006
R_1232,3,0.0173,0.0009,0.0482,0.0007
R_1233,8,0.0153,0.0004,0.0782,0.0006
R_1234,3,0.0167,0.0003,0.0517,0.0007
R_1235,7,0.02,0.0003,0.0643,0.0007
R_1236,4,0.0167,0.0,0.0371,0.0007
R_1237,2,0.0153,0.0025,0.061,0.0006
R_1238,3,0.014,0.0155,0.052,0.0006
R_1239,0,0.016,0.0012,0.0538,0.0007
R_124,10,0.02,0.0033,0.0516,0.0008
R_1240,10,0.016,0.0022,0.0475,0.0006
R_1241,3,0.0187,0.0038,0.0501,0.0007
R_1242,7,0.018,0.0064,0.0671,0.0007
R_1243,5,0.018,0.0006,0.0611,0.0007
R_1244,1,0.0153,0.0028,0.045,0.0006
