community,degree_rep,betweenness_rep,pagerank_rep
0,1024,1041,1024
1,1151,1201,1151
2,1145,267,1145
3,358,1035,358
4,66,822,66
5,1183,1416,954
6,1422,1375,1422
7,69,903,69
8,1274,917,1274
9,222,226,493
10,9,1298,9
11,784,1252,469
