community,degree_rep,betweenness_rep,pagerank_rep
0,G_12,G_63,G_86
1,G_481,G_675,G_481
2,G_1290,G_1024,G_1290
3,G_315,G_415,G_315
4,G_1022,G_1111,G_1022
5,G_213,G_382,G_213
6,G_640,G_1135,G_640
7,G_1321,G_37,G_1321
8,G_887,G_1358,G_887
9,G_574,G_358,G_574
