community,degree_rep,betweenness_rep,pagerank_rep
0,S_115,S_321,S_115
1,S_2,S_414,S_2
2,S_329,S_458,S_329
3,S_1018,S_898,S_1018
4,S_756,S_1297,S_756
5,S_658,S_746,S_658
6,S_710,S_788,S_710
7,S_673,S_929,S_673
8,S_1143,S_994,S_1170
9,S_195,S_132,S_195
10,S_1479,S_775,S_881
11,S_1179,S_1201,S_889
12,S_689,S_468,S_689
13,S_131,S_374,S_131
14,S_622,S_528,S_622
15,S_508,S_955,S_508
