community,degree_rep,betweenness_rep,pagerank_rep
0,R_1225,R_1377,R_1225
1,R_1176,R_1273,R_1176
2,R_757,R_1291,R_757
3,R_194,R_48,R_18
4,R_130,R_958,R_437
5,R_1077,R_822,R_1077
6,R_525,R_335,R_525
7,R_1070,R_896,R_1070
8,R_643,R_692,R_643
9,R_1247,R_810,R_1247
10,R_1170,R_386,R_1170
11,R_1441,R_162,R_1441
12,R_1265,R_1261,R_1265
