node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_0,0,0.01,0.0005,0.1178,0.0006
G_1,0,0.012,0.0005,0.1128,0.0007
G_10,0,0.0127,0.0015,0.1168,0.0007
G_100,1,0.01,0.0125,0.1153,0.0006
G_1000,2,0.012,0.0023,0.0938,0.0007
G_1001,3,0.01,0.0069,0.0859,0.0006
G_1002,7,0.0113,0.0038,0.0928,0.0006
G_1003,5,0.0113,0.0013,0.097,0.0006
G_1004,5,0.0127,0.002,0.1001,0.0007
G_1005,6,0.0107,0.001,0.1166,0.0006
G_1006,13,0.0113,0.0034,0.1183,0.0007
G_1007,8,0.0107,0.0016,0.1013,0.0006
G_1008,9,0.0127,0.0019,0.0849,0.0007
G_1009,3,0.0113,0.0015,0.0958,0.0006
G_101,11,0.0127,0.0027,0.116,0.0007
G_1010,5,0.0133,0.0032,0.1011,0.0008
G_1011,8,0.01,0.0003,0.101,0.0006
G_1012,14,0.0107,0.0062,0.1086,0.0006
G_1013,2,0.01,0.0045,0.0884,0.0006
G_1014,13,0.0107,0.0091,0.111,0.0006
G_1015,14,0.0113,0.0022,0.1074,0.0007
G_1016,2,0.0127,0.0008,0.0833,0.0007
G_1017,4,0.014,0.0013,0.0932,0.0008
G_1018,2,0.014,0.0005,0.0819,0.0007
G_1019,14,0.01,0.0017,0.1042,0.0006
G_102,12,0.01,0.0243,0.0975,0.0006
G_1020,13,0.0113,0.0031,0.1008,0.0007
G_1021,4,0.0113,0.0021,0.1009,0.0006
G_1022,14,0.0133,0.0011,0.1032,0.0008
G_1023,3,0.0107,0.0041,0.0884,0.0006
G_1024,14,0.01,0.058,0.1053,0.0006
G_1025,6,0.012,0.0036,0.104,0.0007
G_1026,8,0.0107,0.0002,0.1019,0.0006
G_1027,13,0.012,0.0176,0.122,0.0007
G_1028,14,0.0107,0.0004,0.1052,0.0006
G_1029,4,0.012,0.0011,0.0941,0.0006
G_103,11,0.014,0.0107,0.1172,0.0008
G_1030,7,0.0107,0.0008,0.0831,0.0006
G_1031,3,0.0127,0.0054,0.0935,0.0007
G_1032,14,0.0113,0.0028,0.1073,0.0007
G_1033,7,0.0147,0.0014,0.0817,0.0008
G_1034,2,0.012,0.0047,0.0797,0.0006
G_1035,9,0.01,0.0,0.0728,0.0006
G_1036,3,0.0107,0.0008,0.0923,0.0006
G_1037,13,0.016,0.0086,0.1088,0.0009
G_1038,3,0.0107,0.0063,0.1077,0.0006
G_1039,14,0.012,0.0094,0.1126,0.0007
G_104,0,0.0133,0.0303,0.1192,0.0007
G_1040,9,0.016,0.0001,0.0735,0.0008
G_1041,7,0.012,0.0022,0.0939,0.0007
G_1042,4,0.0127,0.0006,0.0955,0.0007
G_1043,14,0.0107,0.0084,0.1065,0.0006
G_1044,5,0.012,0.0008,0.1028,0.0007
G_1045,8,0.0107,0.0035,0.0985,0.0006
G_1046,2,0.0127,0.0002,0.0767,0.0007
G_1047,8,0.0133,0.0034,0.1038,0.0007
G_1048,8,0.0153,0.0072,0.1066,0.0008
G_1049,4,0.012,0.0111,0.098,0.0007
G_105,12,0.0113,0.0023,0.0964,0.0007
G_1050,2,0.014,0.0015,0.0819,0.0007
G_1051,3,0.0113,0.0055,0.1007,0.0006
G_1052,6,0.012,0.0099,0.1113,0.0007
G_1053,3,0.0127,0.0012,0.0962,0.0007
G_1054,3,0.0113,0.0062,0.0912,0.0006
G_1055,13,0.014,0.0029,0.1041,0.0008
G_1056,8,0.012,0.0007,0.1006,0.0007
G_1057,8,0.0113,0.0105,0.1112,0.0007
G_1058,14,0.0127,0.0004,0.103,0.0007
G_1059,13,0.0127,0.0041,0.1148,0.0007
G_106,12,0.012,0.0034,0.0963,0.0007
G_1060,8,0.0127,0.0044,0.1061,0.0007
G_1061,14,0.0107,0.0005,0.1025,0.0006
G_1062,2,0.0113,0.0004,0.094,0.0006
G_1063,3,0.0113,0.0015,0.0881,0.0006
G_1064,6,0.0113,0.0241,0.1218,0.0007
G_1065,8,0.012,0.0025,0.1054,0.0007
G_1066,2,0.012,0.0006,0.0753,0.0007
G_1067,4,0.01,0.001,0.0997,0.0006
G_1068,4,0.0127,0.0057,0.1041,0.0007
G_1069,8,0.012,0.0013,0.1039,0.0007
G_107,0,0.012,0.0019,0.123,0.0007
G_1070,2,0.01,0.0276,0.0889,0.0006
G_1071,9,0.0167,0.0074,0.0849,0.0008
G_1072,8,0.0127,0.0029,0.1062,0.0007
G_1073,14,0.0127,0.0022,0.1045,0.0007
G_1074,7,0.0133,0.0006,0.0814,0.0007
G_1075,7,0.0107,0.0002,0.0828,0.0006
G_1076,10,0.0133,0.0041,0.0778,0.0007
G_1077,3,0.0127,0.0013,0.0961,0.0007
G_1078,14,0.012,0.0027,0.1079,0.0007
G_1079,7,0.01,0.0018,0.0917,0.0006
G_108,0,0.012,0.001,0.1191,0.0007
G_1080,13,0.012,0.0039,0.1171,0.0007
G_1081,14,0.014,0.0013,0.1066,0.0008
G_1082,0,0.0107,0.0221,0.1214,0.0006
G_1083,10,0.0127,0.0026,0.0762,0.0007
G_1084,6,0.0127,0.0063,0.1151,0.0007
G_1085,3,0.0113,0.0016,0.0884,0.0006
G_1086,10,0.01,0.0072,0.0729,0.0006
G_1087,5,0.0113,0.0037,0.0982,0.0006
G_1088,13,0.012,0.0047,0.1039,0.0007
G_1089,13,0.012,0.0245,0.1223,0.0007
G_109,3,0.01,0.0178,0.109,0.0006
G_1090,8,0.014,0.0021,0.1045,0.0008
G_1091,5,0.01,0.0445,0.1091,0.0006
G_1092,14,0.012,0.0089,0.1066,0.0007
G_1093,3,0.0133,0.0018,0.0913,0.0007
G_1094,7,0.0127,0.0011,0.0844,0.0007
G_1095,13,0.0107,0.0028,0.1049,0.0006
G_1096,11,0.01,0.0325,0.1242,0.0006
G_1097,8,0.012,0.0054,0.1025,0.0007
G_1098,5,0.01,0.0015,0.0998,0.0006
G_1099,6,0.0107,0.0115,0.1212,0.0006
G_11,10,0.0133,0.0036,0.0768,0.0007
G_110,0,0.0113,0.0001,0.1068,0.0006
G_1100,13,0.012,0.0061,0.1133,0.0007
G_1101,10,0.0107,0.0009,0.0765,0.0006
G_1102,14,0.01,0.001,0.1092,0.0006
G_1103,13,0.0127,0.0222,0.1235,0.0007
G_1104,14,0.0127,0.0019,0.1076,0.0007
G_1105,9,0.0113,0.0037,0.0792,0.0006
G_1106,7,0.0127,0.0187,0.0921,0.0007
G_1107,8,0.012,0.0025,0.0973,0.0007
G_1108,4,0.0127,0.0011,0.1012,0.0007
G_1109,14,0.012,0.0022,0.1041,0.0007
G_111,0,0.01,0.0011,0.1197,0.0006
G_1110,13,0.0113,0.0028,0.1083,0.0007
G_1111,14,0.01,0.1188,0.1122,0.0006
G_1112,4,0.014,0.0016,0.0944,0.0007
G_1113,9,0.0107,0.0,0.0729,0.0006
G_1114,8,0.01,0.0016,0.1029,0.0006
G_1115,4,0.012,0.0018,0.0956,0.0007
G_1116,4,0.0107,0.0025,0.1072,0.0006
G_1117,14,0.012,0.0059,0.1066,0.0007
G_1118,8,0.012,0.001,0.1052,0.0007
G_1119,9,0.0107,0.0002,0.0772,0.0006
G_112,12,0.0133,0.0028,0.0871,0.0007
G_1120,9,0.0107,0.0,0.0729,0.0006
G_1121,14,0.0113,0.0017,0.1054,0.0007
G_1122,8,0.012,0.0094,0.1027,0.0007
G_1123,6,0.0133,0.0013,0.1119,0.0007
G_1124,5,0.0113,0.0125,0.1068,0.0006
G_1125,3,0.012,0.0027,0.1007,0.0007
G_1126,9,0.01,0.0009,0.085,0.0005
G_1127,14,0.012,0.0012,0.1055,0.0007
G_1128,4,0.0107,0.0089,0.0978,0.0006
G_1129,3,0.0113,0.0016,0.0884,0.0006
G_113,1,0.01,0.0085,0.1104,0.0006
G_1130,8,0.0113,0.0005,0.101,0.0006
G_1131,6,0.0113,0.0009,0.1164,0.0006
G_1132,14,0.0113,0.0017,0.108,0.0007
G_1133,2,0.01,0.035,0.0842,0.0006
G_1134,2,0.012,0.0056,0.0901,0.0007
G_1135,7,0.0107,0.0282,0.0995,0.0006
G_1136,8,0.01,0.0004,0.0988,0.0006
G_1137,13,0.012,0.0019,0.1106,0.0007
G_1138,3,0.0113,0.0091,0.086,0.0006
G_1139,10,0.0113,0.001,0.0766,0.0006
G_114,1,0.012,0.0065,0.1047,0.0007
