community,degree_rep,betweenness_rep,pagerank_rep
0,R_1120,R_248,R_1120
1,R_138,R_1351,R_63
2,R_408,R_806,R_408
3,R_28,R_1208,R_28
4,R_1476,R_48,R_1476
5,R_575,R_498,R_575
6,R_179,R_182,R_179
7,R_1149,R_1443,R_1149
8,R_1450,R_1444,R_1450
9,R_957,R_1240,R_975
10,R_147,R_241,R_147
11,R_563,R_1012,R_563
12,R_1114,R_263,R_913
13,R_1332,R_810,R_1332
14,R_1078,R_822,R_1078
15,R_229,R_1261,R_373
16,R_124,R_635,R_700
