community,degree_rep,betweenness_rep,pagerank_rep
0,S_101,S_176,S_101
1,S_164,S_414,S_413
2,S_46,S_302,S_46
3,S_1089,S_1329,S_493
4,S_739,S_955,S_739
5,S_533,S_634,S_533
6,S_1048,S_530,S_1048
7,S_835,S_994,S_835
8,S_1020,S_576,S_1333
9,S_1012,S_847,S_886
10,S_710,S_788,S_710
11,S_1147,S_468,S_1147
12,S_229,S_13,S_229
13,S_826,S_1326,S_826
14,S_60,S_132,S_60
15,S_202,S_233,S_214
16,S_1368,S_1201,S_1422
